ConditionEvents,en,uk
EventText1256,The scientists you met have entrusted you with their research findings. You need to bring it to the research facility they've marked on your map.,"Вчені, яких ви зустріли, довірили вам результати своїх досліджень. Вам потрібно доставити їх до дослідницького центру, який вони позначили на вашій карті."
EventTitle1258,Research Results - Glowworms,Результати досліджень - Світлячки
EventText1258,"You arrive at an isolated research facility; a young researcher comes out to meet you when he hears your truck approach. You hand him the notebook and recount what you witnessed at the dig site. He thanks you, and asks what you want in return.","Ви приїжджаєте до ізольованого дослідницького об'єкту; молодий дослідник виходить вам назустріч, коли чує, що під'їжджає ваша вантажівка. Ви передаєте йому блокнот і розповідаєте про те, що побачили на місці розкопок. Він дякує вам і запитує, що ви хочете натомість."
Evt1258_Select0,Information. Who are you people?,Інформація. Хто ви такі?
Evt1258_Select0_Hint0,"$STR_1We$STR_2re the Glowworm Institute. We$STR_2re a fellowship of scientists and doctors, from even before the Fall. Our goal has been to find the root cause of the Fall.$STR_1 He quickly skims through the notebook you brought him. $STR_1I$STR_2ll have to vet them, but if my colleague$STR_2s findings are correct, it would seem we$STR_2ve finally isolated the causative agent behind the infection. Now we just need to find a way to eliminate it.$STR_1","$STR_1Ми$STR_2$STR_1$STR_2 - Інститут Світлячків. Ми$STR_2 - спільнота вчених і лікарів, яка існує ще до гріхопадіння. Наша мета - знайти першопричину Гріхопадіння.$STR_1 Він швидко гортає блокнот, який ти$STR_2 йому принесла. Якщо висновки мого колеги правильні, то, здається, ми$STR_2 нарешті ізолювали збудника інфекції. Тепер нам просто потрібно знайти спосіб його знищити.$STR_1"
Evt1258_Select1,Food.,Їжа.
Evt1258_Select2,Cores.,Ядра.
Evt1258_Select3,Medical supplies.,Медикаменти.
EventTitle1259,Research Results - A Greater Cause,Результати дослідження - Велика справа
EventText1259,"To your surprise, one of your crew members wants to stay behind at the facility and join the Glowworms.","На ваш подив, один з членів екіпажу хоче залишитися на об'єкті і приєднатися до Світлячків."
Evt1259_Select0,"If I leave, who$STR_2s gonna drive the truck?","Якщо я поїду, хто$STR_2 буде керувати вантажівкою?"
Evt1259_Select0_Hint0,"Hey man, you tell me. I$STR_2m not the one who came up with the idea.","$STR_2 Чувак, це ти мені скажи. Я не той, хто придумав цю ідею."
Evt1259_Select1,[Bribe the scientists to reject them],"[Підкупити вчених, щоб вони їх відкинули]."
Evt1259_Select1_Hint0,The Glowworms accept your $STR_1ad-hoc research grant$STR_1 and gently reject your crew member.,Світлячки приймають ваш грант на спеціальні дослідження $STR_1 і м'яко відмовляють вашому члену екіпажу.
Evt1259_Select2,[Bribe the crew member],[Підкупити члена екіпажу]
Evt1259_Select2_Hint0,A hefty heap of cash instantly dispels any foolish ideas of $STR_1serving a higher purpose$STR_1.,"Величезна купа готівки миттєво розвіює будь-які безглузді ідеї про те, що $STR_1 служить вищій меті $STR_1."
Evt1259_Select3,[Let them leave],[Нехай ідуть]
Evt1259_Select3_Hint0,It seems like their mind's already made up. What can you do?,"Таке враження, що вони вже все вирішили. Що ти можеш зробити?"
EventTitle1260,Research Results - Another Job,Результати дослідження - ще одна робота
EventText1260,The doctor approaches you again. $STR_1What would you say to another job? One that could decide the very fate of humanity?$STR_1,"Лікар знову звертається до вас. $STR_1Що б ви сказали про іншу роботу? Такою, що може вирішити долю людства? $STR_1"
Evt1260_Select0,[Accept],[Прийняти]
Evt1260_Select0_Hint0,The very fate of humanity? Sounds like a lofty goal.,Сама доля людства? Звучить як висока мета.
Evt1260_Select1,[Refuse],[Відмова]
Evt1260_Select1_Hint0,You've done enough already. Time to go.,Ти вже достатньо зробив. Пора йти.
EventTitle1261,Research Results - Another Job 2,Результати дослідження - ще одна робота 2
EventText1261,"A little girl peeks out from behind the legs of the scientist, who gently pushes her towards you. $STR_1The job is to escort this young lady to our headquarters.$STR_1","Маленька дівчинка визирає з-за ніг вченого, який обережно підштовхує її до вас. $STR_1Ваше завдання - супроводити цю юну леді до нашої штаб-квартири.$STR_1"
Evt1261_Select0,"What$STR_2s your name, little lady?","Як тебе $STR_2 звати, маленька леді?"
Evt1261_Select0_Hint0,"The girl says nothing. She stares at you warily for a bit, then retreats back behind the scientist.","Дівчина нічого не відповідає. Вона деякий час насторожено дивиться на вас, а потім відступає назад за спину вченого."
Evt1261_Select1,"Great, just what we needed. Dead weight.","Чудово, саме те, що нам потрібно. Мертвий вантаж."
Evt1261_Select1_Hint0,"The girl says nothing. She stares at you warily for a bit, then retreats back behind the scientist.","Дівчина нічого не відповідає. Вона деякий час насторожено дивиться на вас, а потім відступає назад за спину вченого."
Evt1261_Select2,"Well then, let$STR_2s go.",Тоді нехай $STR_2s йде.
EventTitle1262,(Side Story) Little Girl,(Побічна історія) Маленька дівчинка
EventText1262,You've been asked by the Glowworms to bring a little girl to their headquarters.,Світлячки попросили вас привести маленьку дівчинку до їхньої штаб-квартири.
Evt1262_If0_Else0_Hint0,"Without the little girl, you can$STR_2t finish this task.",Без дівчинки ви не зможете$STR_2виконати це завдання.
EventTitle1264,Girl - Headquarters,Дівчина - штаб-квартира
EventText1264,"You arrive at what$STR_2s supposed to be the Glowworms$STR_2 headquarters, only to find a dilapidated, half-collapsed building. Several infected roam around the entrance.","Ви прибуваєте до штаб-квартири Glowworms$STR_2, але замість неї бачите напівзруйновану будівлю, що$STR_2 напівзруйнувалася. Кілька інфікованих блукають біля входу."
Evt1264_Select0,"Well, we$STR_2re here. That$STR_2s our job done. Off you go, missy.","Що $STR_2 ж, ми$STR_2 тут. На цьому наша робота закінчена. Можете йти, панночко."
Evt1264_Select0_Hint0,Your job was to take the girl to the headquarters. Nobody said you had to hand her off to a living person.,"Твоя робота полягала в тому, щоб доставити дівчину в штаб. Ніхто не казав, що ви повинні були передати її живій людині."
Evt1264_Select1,[Enter the building],[Увійдіть до будівлі]
Evt1264_Select2,[Drive off],[Від'їжджають]
Evt1264_Select2_Hint0,"Well, shit. Whoever was going to pay you is probably dead. Guess this little girl$STR_2s going to be a permanent addition to the crew.","Що $STR_2 ж, лайно. Той, хто збирався тобі заплатити, мабуть, мертвий. Гадаю, ця дівчинка, STR_2, стане постійним членом нашої команди."
EventTitle1265,Girl - Abandoned Headquarters,Дівчина - Покинутий штаб
EventText1265,"You sneak into the headquarters and carefully make your way through the building, the little girl following not far behind you. As expected, there$STR_2s not a single living soul in sight. While you$STR_2re walking through a hallway, an infected suddenly bursts from one of the doors and grabs the little girl.","Ви$STR_2 прокрадаєтеся до штаб-квартири і обережно пробираєтеся крізь $STR_2 будівлю, маленька дівчинка слідує трохи позаду вас. Як і очікувалося, тут немає жодної живої душі. Коли ви проходите коридором, з одних із дверей раптово вискакує інфікований і хапає дівчинку."
Evt1265_Select0,[Run away],[Тікай!]
Evt1265_Select0_Hint0,You leave the little girl to die. Real swell of you.,Ти залишив маленьку дівчинку помирати. Дуже мило з твого боку.
Evt1265_Select1,[Shoot the infected],[Стріляйте в інфікованих]
Evt1265_Select1_Random0_Seq0_Hint0,"You gun down the infected without hitting the girl. You go to check if she$STR_2s alright, only to find that she$STR_2s been bitten.","Ви$STR_2 застрелили інфікованого, не зачепивши дівчину. Ви йдете перевірити, чи з нею все гаразд, але виявляєте, що її$STR_2$ вкусили."
Evt1265_Select1_Random0_Seq1_Hint0,"You spray the infected down with bullets, but you accidentally hit the little girl in the process. Great going.","Ви розстрілюєте заражених кулями, але при цьому випадково влучаєте в маленьку дівчинку. Чудова робота."
Evt1265_Select2,[Charge at the infected],[Заряджайте в інфікованих]
Evt1265_Select2_Hint0,"You spear tackle the infected off her. You manage to stab it dead, but one of your crew members is wounded in the struggle. You go to check if the little girl is alright, only to find that she$STR_2s been bitten.","Ви списом намагаєтесь скинути з неї інфікованого. Вам вдається вбити його, але під час боротьби один з членів вашої команди отримує поранення. Ви йдете перевірити, чи все гаразд з маленькою дівчинкою, але виявляєте, що її$STR_2 покусали."
Evt1265_Select3,[Snipe the infected],[Вистрілити в інфікованого]
Evt1265_Select3_Hint0,"You put the infected down with a single shot between the eyes. You go to check if the little girl is alright, only to find that she$STR_2s been bitten.","Ви вбиваєте інфікованого одним пострілом між очей. Ви йдете перевірити, чи все гаразд з маленькою дівчинкою, і виявляєте, що її $STR_2 вкусив."
EventTitle1266,"Girl - Once Bitten, Twice Healed","Дівчинка - Один раз укушений, двічі вилікуваний"
EventText1266,"The wound is deep, and it$STR_2s clearly infected. The little girl is mumbling something inaudible, and you worry she$STR_2s into shock. You need to make a decision, and fast.","Рана $STR_2 глибока, і вона явно інфікована. Дівчинка бурмоче щось нерозбірливе, і ви$STR_2 боїтеся, що у неї шок. Вам потрібно прийняти рішення, і швидко."
Evt1266_Select0,[Administer first aid],[Надання першої допомоги].
Evt1266_Select0_Hint0,"$STR_1It$STR_2s okay. I$STR_2m not going to die.$STR_1 The little girl, whose only sounds thus far have been anxious mumbling or complete silence, suddenly speaks up.","Все $STR_2 гаразд. Я не збираюся помирати.$STR_1 Маленька дівчинка, єдиними звуками якої досі було тривожне бурмотіння або повне мовчання, раптом заговорила."
Evt1266_Select1,[Do whatever you can to save her],"[Зробіть все можливе, щоб врятувати її]"
Evt1266_Select1_Hint0,"You go through your medical kit, trying all sorts of antibiotic and anti-inflammatory medications, but none of them seem to break the girl$STR_2s rapidly-worsening fever.\n$STR_1It$STR_2s okay... I$STR_2m not going to die.$STR_1 The little girl, whose only sounds thus far have been anxious mumbling or complete silence, suddenly speaks up.","Ви$STR_2 перебираєте свою аптечку, випробовуючи всілякі антибіотики та протизапальні препарати, але жоден з них, здається, не може збити лихоманку дівчинки, яка швидко зростає.\n$STR_1 Все$STR_2 гаразд... Я не помру.$STR_1 Маленька дівчинка, чиїми єдиними звуками досі було тривожне бурмотіння або повне мовчання, раптом заговорила."
Evt1266_Select2,She's beyond saving. Let's run.,Її вже не врятувати. Тікаймо.
Evt1266_Select2_Hint0,You leave the little girl to die. Real swell of you.,Ти залишив маленьку дівчинку помирати. Дуже мило з твого боку.
EventTitle1267,"Girl - Once Bitten, Twice Healed 2","Дівчинка - Один раз укушений, двічі вилікуваний 2"
EventText1267,"In a matter of seconds, her once-grievous wound seals up on its own. Her fever begins to steadily cool.",За лічені секунди її колись важка рана затягується сама собою. Температура починає поступово спадати.
Evt1267_Select0,Who are you?,Хто ви?
Evt1267_Select0_If0_Then0_Hint0,$STR_1I$STR_2m sorry... I don$STR_2t really want to think about it again. Can we talk about something else?$STR_1,Мені дуже $STR_1 шкода... Я не хочу більше про це$STR_1 $STR_2 думати. Може поговоримо про щось інше?
Evt1267_Select0_If0_Else0_Hint0,"$STR_1I was born in a little Mil-Sec village... One day, some Mil-Sec soldiers came by. They thought my mom and dad were infected, so they shot them... They were going to kill me too, but the doctors stopped them.$STR_1","$STR_1Я народився в маленькому селі Міл-Сек... Одного разу до нас прийшли солдати Міл-Секу. Вони подумали, що мої батьки інфіковані, і розстріляли їх... Вони хотіли вбити і мене, але лікарі зупинили їх.$STR_1"
Evt1267_Select1,Why aren't you turning into an infected?,Чому ти не перетворюєшся на інфікованого?
Evt1267_Select1_If0_Then0_Hint0,$STR_1...$STR_1,$STR_1...$STR_1
Evt1267_Select1_If0_Else0_Hint0,$STR_1I don$STR_2t really know... The doctors didn$STR_2t know either. It$STR_2s why they wanted to take me away from Mil-Sec...$STR_1,"Я не $STR_2 знаю... Лікарі теж не знали. Тому вони$STR_1 хотіли забрати мене з ""Міл-Сек""...$STR_1$STR_2$STR_2"
Evt1267_Select2,So where do we go from here?,Тож куди ми йдемо далі?
EventTitle1268,"Girl - Once Bitten, Twice Healed 3","Дівчинка - Один раз укушений, двічі вилікуваний 3"
EventText1268,"$STR_1The doctor man told me that if we couldn$STR_2t make it to the headquarters, there was another place we should go...$STR_1 You bring out your map and the little girl points out the location.","Чоловік-лікар сказав $STR_2 мені, що якщо ми не зможемо дістатися до штабу, то є інше місце, куди ми можемо піти...$STR_1 Ви$STR_1 дістаєте мапу, і дівчинка показує на неї."
Evt1268_Select0,How did the Glowworms save you?,Як Світлячки врятували вас?
Evt1268_Select0_If0_Then0_Hint0,$STR_1Sorry... it$STR_2s kind of a bad memory. I don$STR_2t want to talk about it again.$STR_1,$STR_1 Вибач... це$STR_2 погано $STR_2 запам'яталося. Я не хочу більше про це$STR_1 говорити.
Evt1268_Select0_If0_Else0_Hint0,$STR_1They have friends in Mil-Sec... I don$STR_2t think it was the first time they took Mil-Sec prisoners away with them...$STR_1,"$STR_1У них є друзі у військовій частині... Я не$STR_2 думаю, що це був перший раз, коли вони забрали з собою в'язнів Міліції...$STR_1"
Evt1268_Select1,What do you think of the Glowworms?,Що ви думаєте про Glowworms?
Evt1268_Select1_If0_Then0_Hint0,"$STR_1They$STR_2re okay, I guess. They$STR_2re nice to me, but mean to other people.$STR_1","$STR_1Вони$STR_2хороші, напевно. Вони$STR_2 добрі до мене, але злі до інших людей.$STR_1"
Evt1268_Select1_If0_Else0_Hint0,"$STR_1Um, they$STR_2re really nice to me, I guess. But they$STR_2re kind of mean to other people... They lie a lot.$STR_1","$STR_1 Ну, вони$STR_2$STR_1$STR_2 дуже добре ставляться до мене, напевно. Але з іншими людьми вони досить злі... Вони багато брешуть."
Evt1268_Select2,Let's go.,Ходімо.
EventTitle1269,(Side Story) Little Girl 2,(Побічна історія) Маленька дівчинка 2
EventText1269,The Glowworms' headquarters has been abandoned. The girl has told you of a backup location: a secret research facility.,Штаб-квартира Світлячків покинута. Дівчина розповіла вам про запасне місце - секретну дослідницьку установу.
Evt1269_If0_Else0_Hint0,"Without the little girl, you can$STR_2t finish this task.",Без дівчинки ви не зможете$STR_2виконати це завдання.
EventTitle1271,Girl - Secret Facility,Дівчина - Секретний об'єкт
EventText1271,"You arrive at the secret Glowworm research facility with the little girl. For a secret facility, they seem to have a very large security force. The sentries there seem to know you were coming. The moment you hand them the little girl, they raise their rifles and ask you to hand over all your weapons.","Разом з маленькою дівчинкою ви прибуваєте до секретного дослідницького центру ""Світлячок"". Як для секретного об'єкту, у них, здається, дуже велика охорона. Вартові, здається, знали, що ви приїдете. Як тільки ви передаєте їм дівчинку, вони піднімають гвинтівки і просять вас здати всю свою зброю."
Evt1271_Select0,[Refuse and fight them],[Відмовляйтеся і боріться з ними].
Evt1271_Select0_Hint0,"You quickly realize this was a bad idea. They outnumber you greatly, and they$STR_2ve got a heavy machine gun emplacement. One of your crew gets shot, and they soon have you pinned down. With no other choice, you surrender and are thrown into a small conference room.","Ви швидко розумієте, що це була погана ідея. Вони значно переважають вас чисельно, і у них$STR_2ve є важкий кулеметний розрахунок. Одного з членів вашої команди підстрелили, і незабаром вони притиснули вас до землі. Не маючи іншого вибору, ви здаєтеся, і вас кидають у невелику конференц-залу."
Evt1271_Select1,[Tell them why you're here],"[Скажи їм, чому ти тут]"
Evt1271_Select1_Hint0,"$STR_1Yes, we know you$STR_2re transporting the subject, but we have some of the best and brightest minds in the Dustlands here. We can$STR_2t just have you wandering the halls armed. You$STR_2ll get your weapons back when you leave.$STR_1 You agree to disarm and are brought to a small conference room, where you$STR_2re served fresh food and clean water.","$STR_1 Так, ми$STR_1 $STR_2 знаємо, що ви$STR_2 перевозите об'єкт, але у нас тут одні з найкращих і найяскравіших умів у Пилових Землях. Ми не може$STR_2мо дозволити вам блукати коридорами озброєними. Ви$STR_2 отримаєте свою зброю назад, коли підете звідси. Ви погоджуєтеся роззброїтися, і вас ведуть до невеликої конференц-зали, де вам подають свіжу їжу і чисту воду."
Evt1271_Select2,"Your house, your rules. Here are our weapons.","Твій дім, твої правила. Ось наша зброя."
Evt1271_Select2_Hint0,"The guards thank you for your cooperation and bring you to a small conference room, where you$STR_2re served fresh food and clean water.","Охоронці дякують вам за співпрацю і проводять вас до невеликої конференц-зали, де вам$STR_2подадуть свіжу їжу і чисту воду."
EventTitle1272,Girl - Quarantined,Дівчинка - на карантині
EventText1272,"You notice the beeping red light of a surveillance camera. Checking the doorknob of the room, you find that it$STR_2s locked. Moments later, the television in the room flickers on, showing a well-coiffed, clean-shaven man in a suit. He introduces himself as the leader of the Glowworms.","Ви $STR_2 помічаєте, як блимає червоне світло камери спостереження. Перевіривши ручку дверей кімнати, ви бачите, що вони замкнені. Через мить телевізор у кімнаті починає мерехтіти, показуючи добре зачесаного, чисто поголеного чоловіка в костюмі. Він представляється лідером гурту ""Світлячки""."
Evt1272_Select0,Why have you locked us in here?,Чому ви нас тут замкнули?
Evt1272_Select0_If0_Then0_Hint0,"$STR_1As I said, it$STR_2s a safety precaution.$STR_1","$STR_1Як я вже казав, це $STR_2захід безпеки.$STR_1"
Evt1272_Select0_If0_Else0_Hint0,"$STR_1Terribly sorry, we just need to make sure you aren$STR_2t infected. There$STR_2s been an... incident. One that you probably saw firsthand.$STR_1","$STR_1Дуже шкода, але ми маємо переконатися, що ви$STR_2 не інфіковані $STR_2. Стався... інцидент. Який ви$STR_1, мабуть, бачили на власні очі."
Evt1272_Select1,Your headquarters has been destroyed.,Ваш штаб знищено.
Evt1272_Select1_If0_Then0_Hint0,"$STR_1Yes, we$STR_2re aware. Thank you for letting us know.$STR_1","$STR_1 Так, ми$STR_2 знаємо. Дякуємо, що повідомили нам.$STR_1"
Evt1272_Select1_If0_Else0_Hint0,"$STR_1We$STR_2re aware... a terrible tragedy. Several of us lost family and dear friends. One of our salvage teams returned without being properly screened. They turned out to be infected, and things quickly devolved from there. So I hope you can excuse all these extra precautions.$STR_1","$STR_1Ми$STR_2знаємо... про жахливу трагедію. Дехто з нас втратив сім'ю та близьких друзів. Одна з наших рятувальних команд повернулася без належної перевірки. Виявилося, що вони були інфіковані, і все швидко пішло не так, як гадалося. Тож я сподіваюся, що ви зможете вибачити всі ці додаткові запобіжні заходи.$STR_1"
Evt1272_Select2,What are you working on here? Why do you need the little girl?,Над чим ви тут працюєте? Навіщо тобі дівчинка?
Evt1272_Select2_Hint0,"$STR_1The greatest cause of all. Finding a cure to the infection. As for the subject, you may have already realized that she bears a special gift. We will need to dissect her to extract her antibodies.$STR_1","$STR_1Найважливіша причина. Знайти ліки від інфекції. Щодо піддослідної, то, можливо, ви вже зрозуміли, що вона несе в собі особливий дар. Нам потрібно буде препарувати її, щоб витягти її антитіла.$STR_1"
EventTitle1273,Girl - Dissection,Дівчина - Розтин
EventText1273,"$STR_1Wait, won$STR_2t that kill her?$STR_1 you ask.\n$STR_1I$STR_2m afraid the procedure will be fatal, yes. It$STR_2s dirty business, I know, but we have to understand where the antibodies are being produced. For your help in bringing her here, you$STR_2ll be given a reward of 2000 scrap.$STR_1","$STR_2 Зачекайте, це$STR_2$STR_1 не вб'є її? $STR_1 Ви$STR_1 запитуєте. Я боюся, що процедура буде смертельною, так. Це брудна справа, я знаю, але ми$STR_2 повинні зрозуміти, де виробляються антитіла. За вашу допомогу в її доставці сюди, ви$STR_2 отримаєте винагороду в 2000 Брухту. $STR_1"
Evt1273_Select0,We won't let you do this!,Ми не дозволимо вам цього зробити!
Evt1273_Select0_Hint0,"You smash the monitor to bits with a chair, then kick the door of the room off its hinges.","Ви розбиваєте монітор на друзки стільцем, а потім зриваєте двері кімнати з петель."
Evt1273_Select1,[Accept the money and leave],[Візьміть гроші і йдіть]
Evt1273_Select1_Hint0,"Some time later, a guard comes by to let you out. They hand you a briefcase of cash and send you on your way. Back in your truck, the silence hangs heavy over your crew. You did the right thing, securing a future for humanity. Right?","Через деякий час приходить охоронець, щоб випустити вас. Він вручає вам портфель з грошима і відправляє в дорогу. Ви повертаєтесь у вантажівку, і над вашою командою тяжко нависає тиша. Ви вчинили правильно, забезпечивши майбутнє людства. Чи не так?"
EventTitle1274,Girl - Clearing a Path,Дівчина - Розчищає шлях
EventText1274,"As you exit your impromptu jail cell, alarms begin blaring across the facility. You hear the heavy footsteps of guards closing in on your location.","Коли ви виходите зі своєї імпровізованої тюремної камери, по всій установі починає лунати сигнал тривоги. Ви чуєте важкі кроки охоронців, які наближаються до вас."
Evt1274_Select0,[Rush to the operating room],[Поспішайте до операційної]
Evt1274_Select0_Hint0,"You try to head to the OR, but you$STR_2re stopped by a hail of bullets from down the hall. One of your crew members is shot, and without your weapons you have no way to return fire. You need your hardware back.","Ви намагаєтесь пройти до $STR_2 операційної, але вас зупиняє град куль, що летять з коридору. Одного з членів екіпажу поранено, а без зброї ви не можете відкрити вогонь у відповідь. Вам потрібно повернути своє обладнання."
Evt1274_Select1,[Head to the armory],[Прямуємо до арсеналу]
Evt1274_Select1_Random0_Seq0_Hint0,"The armory is under heavy guard, but you manage to bumrush the defenders and take them by surprise. Grabbing weapons off the walls, you make short work of them.","Зброярня під посиленою охороною, але вам вдається наскочити на захисників і застати їх зненацька. Хапаючи зброю зі стін, ви швидко розправляєтеся з ними."
Evt1274_Select1_Random0_Seq1_Hint0,"The armory is under heavy guard. You manage to bumrush the defenders and take them by surprise, but one of your crew members is shot and killed in the fracas. Grabbing weapons off the walls, you quickly avenge your fallen comrade.","Збройовий склад знаходиться під посиленою охороною. Вам вдається наскочити на захисників і застати їх зненацька, але під час сутички одного з членів вашої команди вбивають пострілом. Схопивши зі стін зброю, ви швидко мститеся за загиблого товариша."
Evt1274_Select2,[Attack the guards],[Атакуйте охоронців]
Evt1274_Select2_Hint0,"With your weapons back, you launch a fierce assault on the guards$STR_2 position and wipe them out.",Зі зброєю в руках ви починаєте запеклий штурм позиції охоронців $STR_2 і знищуєте їх.
Evt1274_Select3,[Try to lose the guards],[Спробуйте відірватися від охоронців]
Evt1274_Select3_Random0_Seq0_If0_Then0_Hint0,"You lead the guards on a long chase around the building, and you eventually manage to shake them.","Ви влаштовуєте довгу погоню за охоронцями навколо будівлі, і врешті-решт вам вдається їх похитнути."
Evt1274_Select3_Random0_Seq0_If0_Else0_Hint0,"You lead the guards on a brief chase around the building, and you eventually manage to shake them.","Ви влаштовуєте охоронцям коротку гонитву навколо будівлі, і врешті-решт вам вдається їх похитнути."
Evt1274_Select3_Random0_Seq1_Hint0,"You try to take a different way around, but you$STR_2re cut off by more guards. You$STR_2re running out of time. The longer you wait, the more danger the girl is in.","Ви$STR_2 намагаєтеся обійти з іншого $STR_2 боку, але вас відрізають ще більше охоронців. У вас закінчується час. Чим довше ви чекаєте, тим більша небезпека для дівчини."
Evt1274_Select4,[Ambush the guards],[Засідка на охоронців]
Evt1274_Select4_Hint0,"You retreat to a stairwell and lay in wait. When the guards come up after you, you quickly dispatch them.","Ви відступаєте на сходову клітку і залягаєте в очікуванні. Коли охоронці піднімаються за вами, ви швидко їх розганяєте."
EventTitle1275,Girl - Clearing a Path 2,Дівчина - Розчищаючи шлях 2
EventText1275,You burst into the operating room to find the girl unconscious on the operating table. Several surgeons have already scrubbed in and are preparing to dissect her.,Ви вриваєтеся в операційну і бачите непритомну дівчину на операційному столі. Кілька хірургів вже ввійшли до операційної і готуються до її розтину.
Evt1275_Select0,[Fire a shot in the air],[Постріл у повітря]
Evt1275_Select0_Hint0,You fire a warning shot in the air. The stunned surgeons stop what they're doing.,Ви робите попереджувальний постріл у повітря. Приголомшені хірурги припиняють свою роботу.
EventTitle1276,Girl - Clearing a Path 3,Дівчина - Розчищаючи шлях 3
EventText1276,"When you burst into the operating room, you can immediately tell you$STR_2re too late. You wasted too much time. The room is empty, barring the lifeless body on the operating table.","Коли ви вриваєтеся в операційну, ви можете одразу сказати, що $STR_2занадто пізно. Ви втратили занадто багато часу. Кімната порожня, за винятком бездиханного тіла на операційному столі."
Evt1276_Select0,[Mourn],[Скорбота]
Evt1276_Select0_Hint0,"You hold the girl$STR_2s cold hand and think back to your brief time with her. You think about the life she could have led, the lessons you could have taught her, the woman she could have become. But no more.","Ви тримаєте холодну руку дівчинки $STR_2 і думаєте про ваш короткий час з нею. Ви думаєте про життя, яке вона могла б вести, про уроки, які ви могли б їй дати, про жінку, якою вона могла б стати. Але не більше."
Evt1276_Select1,[Rage],[Гнів]
Evt1276_Select1_Hint0,"$STR_1Are you FUCKING happy?!$STR_1 you scream. $STR_1Is this the $STR_2humanity$STR_2 you want to save, you goddamn animals?!$STR_1","Ти, бляха, щасливи$STR_1й?! Ти кричиш! $STR_1 Це$STR_2 людство $STR_2 ви$STR_1 хочете врятувати, кляті тварини?! $STR_1"
Evt1276_Select2,[Slaughter everybody],[Вбити всіх]
Evt1276_Select2_Hint0,"Your grief and anger harden into cold vengeance. You move from room to room, wordlessly gunning down researcher and guard alike. The brightest minds of the Dustlands are soon reduced to little more than gore and viscera. You set fire to the facility as you leave. You$STR_2ve gotten your revenge, turning one death into countless more.","Твоє горе і гнів застигають у холодній помсті. Ви переходите з кімнати в кімнату, без жодного слова вбиваючи дослідників і охоронців. Найяскравіші уми Пилових земель незабаром перетворяться на криваві останки та нутрощі. Ви підпалюєте об'єкт, коли йдете звідси. Ви$STR_2ve помстилися, перетворивши одну смерть на незліченну кількість інших."
Evt1276_Select3,[Escape],[Втеча]
Evt1276_Select3_Hint0,"Cry and rage as you might, you have hostiles closing in on your location. You need to get out of there.","Плачте і лютуйте, як можете, але до вас наближаються вороги. Вам треба забиратися звідти."
EventTitle1277,Girl - One for All,Дівчина - одна за всіх
EventText1277,"$STR_1Just... just think about what you$STR_2re doing.$STR_1 The surgeon$STR_2s face is obscured by his facemask, but you can see the pleading in his eyes. $STR_1We could save hundreds of millions of people with this! One life, for countless more. We$STR_2ve been trying to find a cure for decades, and this is the first real chance we$STR_2ve gotten! Would you really let that go to waste?$STR_1 His voice is a mix of anger and desperation. $STR_1Would you really let the world burn for one girl?$STR_1","$STR_2 Просто... просто подумай про те, що ти$STR_1 робиш.$STR_1 Обличчя хірурга закрите маскою, але ви$STR_2$STR_1 бачите благання в його очах. СТР_2: Ми$STR_2$STR_1 можемо врятувати сотні мільйонів людей! Одне життя, за незліченну кількість інших. Ми$STR_2 десятиліттями намагалися знайти ліки, і це перший реальний шанс, який ми отримали! Невже ви$STR_1 дозволите йому пропасти? В його голосі - суміш гніву та відчаю. Ви$STR_1 справді дозволите світу згоріти заради однієї дівчинки?"
Evt1277_Select0,You're right. We don't have the right to make that decision.,Твоя правда. Ми не маємо права приймати таке рішення.
Evt1277_Select0_Hint0,"You lay down your weapons, lost in thought. The operation proceeds quickly, and soon the surgeons extract a vial of liquid, which you presume are the antibodies. The surgeon assures you that it$STR_2ll be put to good use, and solemnly hands you your money. Looking at her lifeless body, now covered by a sheet, you think back to your brief time with her. You think about the life she could have led, the lessons you could have taught her, the woman she could have become. Now, she$STR_2s nothing but the savior of humanity.","Ви$STR_2 складаєте зброю, занурившись у роздуми. Операція проходить швидко, і невдовзі хірурги витягають ампулу з рідиною, яка, як ви припускаєте, є антитілами. Хірург запевняє вас, що це$STR_2 буде використане з користю, і урочисто вручає вам ваші гроші. Дивлячись на її бездиханне тіло, накрите простирадлом, ви згадуєте той короткий час, що ви провели з нею. Ви думаєте про життя, яке вона могла б прожити, про уроки, яких ви могли б її навчити, про жінку, якою вона могла б стати. А тепер вона ніщо інше, як рятівниця людства."
Evt1277_Select1,"If this is the kind of world you want to save, we don$STR_2t want to be a part of it.","Якщо це той світ, який ви хочете врятувати, ми не$STR_2 хочемо бути його частиною."
Evt1277_Select1_Hint0,"You clock the surgeon in the face and level your guns at the rest of them. Picking up the girl$STR_2s unconscious body, you quickly make your way out of the facility.","Ви стріляєте в обличчя хірурга і наводите зброю на решту. Підхопивши непритомне тіло дівчини $STR_2, ви швидко виходите з приміщення."
EventTitle1278,Girl - One for All 2,Дівчина - Одна за всіх 2
EventText1278,"By the time the girl stirs, the facility is long behind you. $STR_1...what happened? Where are the doctors?$STR_1","Доки дівчина $STR_1 ворухнеться, об'єкт вже далеко позаду. Що$STR_1 сталося? Де лікарі?"
Evt1278_Select0,We were attacked by some bad people.,На нас напали якісь погані люди.
