LocalizedTable,en,uk
@/AreaItem_CanCollect_Value,Foraging: ,Збирання:
@/AreaItem_1055_Value,Crab,Краб
@/AreaItem_1056_Value,Prawn,Королівська креветка
@/AreaItem_1057_Value,Fish,Риба
@/AreaItem_1058_Value,Rabbit,Кролик
@/AreaItem_1059_Value,Deer,Олень
@/AreaItem_1060_Value,Quail,Перепілка
@/AreaItem_1061_Value,Agaric,Мухомор
@/AreaItem_1062_Value,Morel,Морель
@/AreaItem_1063_Value,Matsutake,Мацутаке
@/AreaItem_1064_Value,Scallop,Морський гребінець
@/AreaItem_1065_Value,Shrimp,Креветки
@/AreaItem_1066_Value,Squab,Голубине м’ясо
@/AreaItem_1067_Value,Pheasant,Фазан
@/AreaItem_1068_Value,Button Mushroom,Печериця
@/AreaItem_1069_Value,Oyster Mushroom,Гливи
@/Dungeon_100_Name,Ruined Shopping Center,Зруйнований торговий центр
@/Dungeon_101_Name,Ruined Industrial Park,Зруйнований промисловий парк
@/Dungeon_102_Name,Ruined Agricenter,Зруйнований сільський
@/Dungeon_103_Name,Ruined Amusement Park,Зруйнований парк розваг
@/Dungeon_104_Name,Ruined Shopping Center,Зруйнований торговий центр
@/Dungeon_105_Name,Ruined Industrial Park,Зруйнований промисловий парк
@/Dungeon_106_Name,Ruined Agricenter,Зруйнований сільський
@/Dungeon_107_Name,Ruined Metropolis,Зруйнований мегаполіс
@/Dungeon_108_Name,Ruined Shopping Center (Volcanic),Зруйнований торговий центр (вулканічний)
@/Dungeon_109_Name,Ruined Industrial Park (Volcanic),Зручений промисловий парк (вулканічний)
@/Dungeon_110_Name,Ruined Agricenter (Volcanic),Зруйнований сільський (вулканічний)
@/Dungeon_111_Name,Ruined Agricenter (Swamp),Зруйнований сільський (болото)
@/Dungeon_112_Name,Ruined Shopping Center (Swamp),Зруйнований торговий центр (болото)
@/Dungeon_113_Name,Ruined Industrial Park (Swamp),Зруйнований промисловий парк (болото)
@/Dungeon_114_Name,Ruined Industrial Park (Frozen),Зруйнований промисловий парк (заморожений)
@/Dungeon_115_Name,Ruined Amusement Park (Frozen),Зруйнований парк розваг (заморожений)
@/Dungeon_116_Name,Ruined Shopping Center (Frozen),Зруйнований торговий центр (заморожений)
@/DungeonPrepareDescription_Capacity_Description,A character's Carry Weight is determined by their Fitness. Certain items can increase Carry Weight.,Вага перенесення персонажа визначається їх придатністю.Деякі предмети можуть збільшити вагу перенесення.
@/DungeonBattleDescription_Hit_Description,Spend 1 AP to launch a normal attack against an adjacent enemy.,"Витратьте 1 AP, щоб розпочати звичайну атаку проти сусіднього ворога."
@/DungeonBattleDescription_Strike_Description,Spend 2 AP to launch a powerful attack against an adjacent enemy.,"Витратьте 2 AP, щоб розпочати потужну атаку проти сусіднього ворога."
@/DungeonBattleDescription_Shoot_Description,Fires this character's gun at an enemy within range.,Стрілять пістолет цього персонажа у ворога в межах дальності.
@/DungeonBattleDescription_Throw_Description,Throws this character's equipped projectile at an enemy within range.,Кидає обладнаний снаряд цього персонажа на ворогу в межах діапазону.
@/DungeonBattleDescription_Movement_Description,"Determined by a character's Fitness. Required for moving, attacking, shooting, and other combat actions.","Визначається фітнесом персонажа.Необхідні для переміщення, нападу, стрільби та інших бойових дій."
@/DungeonBattleDescription_Attack_Description,Base melee damage. Reduced by the target's Defense.,Базовий пошкодження ближнього бою.Зменшено захистом цілі.
@/DungeonBattleDescription_Defence_Description,"Reduces damage received (up to 80%, down to a minimum of 1 damage).","Зменшує отримані збитки (до 80%, до мінімум 1 пошкодження)."
@/DungeonBattleDescription_ShootRange_Description,How many spaces away an enemy has to be for this character to shoot them.,"Скільки проміжок має бути ворогом, щоб цей персонаж знімав їх."
@/DungeonBattleDescription_ShootCost_Description,The amount of Ammo fired per shot.,Кількість боєприпасів за постріл.
@/DungeonBattleDescription_ShootDamage_Description,The amount of damage dealt for every Ammo fired.,Кількість збитків завдала кожного звільненого боєприпасів.
@/DungeonBattleDescription_DelightedStatusText_Description,"Focus, Defense, and Attack +20%","Фокус, захист та атака +20%"
@/DungeonBattleDescription_FatigueStatusText_Description,Max AP -1,Max AP -1
@/DungeonBattleDescription_FatigueMaxStatusText_Description,Max AP -1,Max AP -1
@/DungeonBattleDescription_MoodStatusText_Description,Max AP -1,Max AP -1
@/DungeonBattleDescription_MoodMaxStatusText_Description,Max AP -1,Max AP -1
@/DungeonBattleDescription_HungryStatusText_Description,"Max AP -1, Attack -20%","Max AP -1, атака -20%"
@/DungeonBattleDescription_InjuredStatusText_Description,"Max AP -1, Attack -50%","Max AP -1, атака -50%"
@/DungeonBattleDescription_DrunkStatusText_Description,Attack -20%,Атака -20%
@/DungeonBattleDescription_ThirstyStatusText_Description,Max AP -1,Max AP -1
@/DungeonBattleDescription_OverloadStatusText_Description,Max AP -1,Max AP -1
@/DungeonBattleDescription_OverloadMaxStatusText_Description,Max AP -2,Max AP -2
@/DungeonBattleDescription_HP_Description,How much damage this character can take. Limit is determined by Fitness and reduced by 50% while Wounded.,Скільки шкоди може завдати цей персонаж.Межа визначається фітнесом і зменшується на 50% під час поранення.
@/DungeonSkill_0_SkillName,Desperate Charge,Відчайдушний заряд
@/DungeonSkill_1_SkillName,Standing Guard,Стоячий охоронець
@/DungeonSkill_2_SkillName,Lonely Road,Самотня дорога
@/DungeonSkill_4_SkillName,Eagle Eye,Орел
@/DungeonSkill_5_SkillName,Team Spirit,Командний дух
@/DungeonSkill_6_SkillName,Steady Pace,Стійкий темп
@/DungeonSkill_7_SkillName,Field Medic,Польовий медик
@/DungeonSkill_8_SkillName,Mood Boost,Підвищення настрою
@/DungeonSkill_9_SkillName,Perk Up,Підбадьорювати
@/DungeonSkill_10_SkillName,Natural Leader,Природний лідер
@/DungeonSkill_11_SkillName,Preemptive Strike,Превентивний страйк
@/DungeonSkill_13_SkillName,Case the Joint,Випадок суглоба
@/DungeonSkill_14_SkillName,Battle Hardened,Битва загартована
@/DungeonSkill_15_SkillName,Escape Artist,Втеча художника
@/DungeonSkill_16_SkillName,Dynamic Duo,Динамічний дует
@/DungeonSkill_17_SkillName,One Trucker Army,Одна армія далекобійників
@/DungeonSkill_18_SkillName,Get Over Here,Переходьте сюди
@/DungeonSkill_19_SkillName,Suppressive Fire,Супресивний вогонь
@/DungeonSkill_0_Description,"Once per turn, this character can gain 2 AP on their current turn, but will lose 2 AP on their next turn.","Опинившись на чергу, цей персонаж може отримати 2 AP на їх поточному повороті, але втратить 2 AP на наступному кроці."
@/DungeonSkill_1_Description,"If this character is in a team of 2, the other team member will not spend AP when using exploration skills.","Якщо цей персонаж знаходиться в команді з 2, інший член команди не витрачатиме AP при використанні навичок розвідки."
@/DungeonSkill_2_Description,"If this character is in a team of 1, max AP +50%.","Якщо цей персонаж знаходиться в команді 1, максимум AP +50%."
@/DungeonSkill_4_Description,"If this character is in a team of 1, scouting AP cost -1.","Якщо цей персонаж є в команді 1, розвідник AP вартістю -1."
@/DungeonSkill_5_Description,This character's team members gain 30% less Stress.,Члени команди цього персонажа набирають на 30% менше стресу.
@/DungeonSkill_6_Description,"If this character is in a team of 1, entering unexplored tiles does not cost extra AP.","Якщо цей персонаж знаходиться в команді 1, введення недосліджених плиток не коштує додаткового AP."
@/DungeonSkill_7_Description,Spend 3 AP to heal a random Wounded crew member.,"Проведіть 3 AP, щоб вилікувати випадкового пораненого члена екіпажу."
@/DungeonSkill_8_Description,Spend 2 AP to reduce all team members' Stress.,"Витратьте 2 AP, щоб зменшити стрес у всіх членах команди."
@/DungeonSkill_9_Description,Spend 2 AP to reduce all team members' Fatigue.,"Проведіть 2 AP, щоб зменшити втому всіх членів команди."
@/DungeonSkill_10_Description,Slightly increases Attack and Defense of all team members.,Трохи збільшує напад та захист усіх членів команди.
@/DungeonSkill_11_Description,Spend 1 AP to take the first turn in the next combat encounter.,"Проведіть 1 AP, щоб перейти на перший поворот у наступній бойовій зустрічі."
@/DungeonSkill_13_Description,"If all deployed teams only have 1 member, all teams only need 1 AP to scout.","Якщо всі розгорнуті команди мають лише 1 член, всі команди потребують лише 1 AP для розвідки."
@/DungeonSkill_14_Description,"Whenever this character's team wins a battle, it gains 3 AP.","Кожного разу, коли команда цього персонажа виграє битву, вона отримує 3 AP."
@/DungeonSkill_15_Description,"Whenever this character's team flees a battle, it gains 2 AP.","Кожного разу, коли команда цього персонажа втікає в битву, вона отримує 2 AP."
@/DungeonSkill_16_Description,"If this character's team only has 2 members, increases all members' Attack.","Якщо команда цього персонажа має лише 2 членів, збільшує атаку всіх членів."
@/DungeonSkill_17_Description,"If this character's team only has 1 member, greatly increases their Attack and Defense.","Якщо команда цього персонажа має лише 1 члена, значно збільшує їх атаку та захист."
@/DungeonSkill_18_Description,Spend AP to draw an enemy towards you and attack them.,"Проведіть AP, щоб намалювати ворога до вас і напасти на них."
@/DungeonSkill_19_Description,Spend AP to push an enemy away from you and shoot at them.,"Проведіть AP, щоб відштовхнути від вас ворога і стріляти в них."
@/DungeonEnemy_0_Name,Infected,Заражений
@/DungeonEnemy_1_Name,Infected Dog,Заражена собака
@/DungeonEnemy_2_Name,Weak Spewer,Слабкий спусер
@/DungeonEnemy_3_Name,Bandit,Бандит
@/DungeonEnemy_4_Name,Bandit Scout,Бандит -розвідник
@/DungeonEnemy_5_Name,Novice Marksman,Новачок Марксман
@/DungeonEnemy_6_Name,Roamer,Роумер
@/DungeonEnemy_7_Name,Runner,Бігун
@/DungeonEnemy_8_Name,Spewer,Шпигун
@/DungeonEnemy_9_Name,Bandit Stabber,Бандит Стаббер
@/DungeonEnemy_10_Name,Thief,Злодій
@/DungeonEnemy_11_Name,Marksman,Двигун
@/DungeonEnemy_12_Name,Crusher,Дробарка
@/DungeonEnemy_13_Name,Marauder,Мародер
@/DungeonEnemy_14_Name,Elite Spewer,Еліт
@/DungeonEnemy_15_Name,Heavy,Важкий
@/DungeonEnemy_16_Name,Assassin,Вбивця
@/DungeonEnemy_17_Name,Elite Marksman,Елітний марксман
@/DungeonEnemy_18_Name,Duchess,Герцогиня
@/DungeonEnemy_19_Name,Controller,Контролер
@/DungeonEnemy_20_Name,Infected Sniper,Заражений снайпер
@/DungeonEnemy_21_Name,Merc Leader,Лідер Мерк
@/DungeonEnemy_22_Name,Elite Assassin,Елітний вбивця
@/DungeonEnemy_23_Name,Sharpshooter,Стрілець
@/DungeonUIDescription_Capacity_Description,A character's Carry Weight is determined by their Fitness. Certain items can increase Carry Weight.,Вага перенесення персонажа визначається їх придатністю.Деякі предмети можуть збільшити вагу перенесення.
@NamePool_1_Name,Kitty,Кітті
@NamePool_2_Name,Tee,Трійник
@NamePool_3_Name,Cap'n,Капітан
@NamePool_4_Name,Aegis,Егіда
@NamePool_5_Name,Sig,Сіг
@NamePool_6_Name,Quince,Айва
@NamePool_7_Name,Eli,Елі
@NamePool_8_Name,Muscles,М'язи
@NamePool_9_Name,Crackshot,Влучник
@NamePool_10_Name,Shu,Шу
@NamePool_11_Name,Easty,Істі
@NamePool_12_Name,Rae,Рей
@NamePool_13_Name,Knives,Ножі
@NamePool_14_Name,Blue,Синій
@NamePool_15_Name,Frog,Жаба
@NamePool_16_Name,Rye,Жито
@NamePool_17_Name,Harmony,Гармонія
@NamePool_18_Name,Ina,Інна
@NamePool_19_Name,Chopper,Чоппер
@NamePool_20_Name,Hao,Хао
@NamePool_21_Name,Leslie,Леслі
@NamePool_22_Name,Ripper,розпушувач
@NamePool_23_Name,Jeanne,Жанна
@NamePool_24_Name,Cookie,Печиво
@NamePool_25_Name,Croaker,Горбиль
@NamePool_26_Name,Rev,Рев
@NamePool_27_Name,Pascal,Паскаль
@NamePool_28_Name,Six,Шість
@NamePool_29_Name,Shimmy,Шіммі
@NamePool_30_Name,Croaker,Горбиль
@NamePool_31_Name,Trip,подорож
@NamePool_32_Name,Sundown,Захід сонця
@NamePool_33_Name,Dodi,Доді
@NamePool_34_Name,Eli,Елі
@NamePool_35_Name,Knives,Ножі
@NamePool_36_Name,Yasha,Яша
@NamePool_37_Name,Pigsy,Порося
@NamePool_38_Name,Beans,Квасоля
@NamePool_39_Name,Raph,Раф
@NamePool_40_Name,Jojo,Джоджо
@NamePool_41_Name,Ding,Дінь
@NamePool_42_Name,Blank,Пустий
@NamePool_43_Name,Nails,Нігті
@NamePool_44_Name,Droopy,Обвислий
@NamePool_45_Name,Dusty,Запилений
@NamePool_46_Name,Conch,раковина
@NamePool_47_Name,Tusk,Бивень
@NamePool_48_Name,Root,Корінь
@NamePool_49_Name,Guts,Кишки
@NamePool_50_Name,Slick,Витончений
@NamePool_51_Name,Knuckles,Костолом
@NamePool_52_Name,Rock,Рок
@NamePool_53_Name,Fang,Ікло
@NamePool_54_Name,Cakes,Торти
@NamePool_55_Name,Geffen,Геффен
@NamePool_56_Name,Calabash,Калебас
@NamePool_57_Name,Potts,Поттс
@NamePool_58_Name,Fuji,Фудзі
@NamePool_59_Name,Midas,Мідас
@NamePool_60_Name,Cal,кал
@NamePool_61_Name,Yargo,Ярго
@NamePool_62_Name,Lucky,Щасливчик
@NamePool_63_Name,Kai,Кай
@NamePool_64_Name,Val,Вал
@NamePool_65_Name,Fraser,Фрейзер
@NamePool_66_Name,Biggs,Біггс
@NamePool_67_Name,Goober,Губер
@NamePool_68_Name,Miles,Майлз
@NamePool_69_Name,Lian,Ліан
@NamePool_70_Name,Brack,Brack
@NamePool_71_Name,Fives,П'ятірки
@NamePool_72_Name,Willem,Віллем
@NamePool_73_Name,Feuer,Feuer
@NamePool_74_Name,Bo,Бо
@NamePool_75_Name,Seer,Провидець
@NamePool_76_Name,Feng,Фен
@NamePool_77_Name,Aster,Айстра
@NamePool_78_Name,Percy,Персі
@NamePool_79_Name,Yun,Юн
@NamePool_80_Name,Elmo,Елмо
@NamePool_81_Name,Jin,Джин
@NamePool_82_Name,Breezy,Вітряний
@NamePool_83_Name,Lucian,Лукіан
@NamePool_84_Name,River,Річка
@NamePool_85_Name,Ping,Пінг
@NamePool_86_Name,Pipes,Труби
@NamePool_87_Name,Tru,Тру
@NamePool_88_Name,Link,Посилання
@NamePool_89_Name,Twig,Гілка
@NamePool_90_Name,Scales,Ваги
@NamePool_91_Name,Pei,Пей
@NamePool_92_Name,Vert,Верт
@NamePool_93_Name,Reed,Рід
@NamePool_94_Name,Oort,Оорт
@NamePool_95_Name,Bam,Бам
@NamePool_96_Name,Murray,Мюррей
@NamePool_97_Name,Tam,Там
@NamePool_98_Name,Nevis,Невіс
@NamePool_99_Name,Ming,Мін
@NamePool_100_Name,Bai,Бай
@NamePool_101_Name,Cherry,Вишенька
@NamePool_102_Name,Cardi,Карді
@NamePool_103_Name,Juni,Джуні
@NamePool_104_Name,Freya,Фрейя
@NamePool_105_Name,Leaf,листок
@NamePool_106_Name,Cotton,Бавовна
@NamePool_107_Name,Haze,Серпанок
@NamePool_108_Name,Moon,Місяць
@NamePool_109_Name,Alena,Алена
@NamePool_110_Name,Dewdrop,Росинка
@NamePool_111_Name,Ginger,імбир
@NamePool_112_Name,Rainbow,Веселка
@NamePool_113_Name,Shady,Тіньовий
@NamePool_114_Name,Gray,Сірий
@NamePool_115_Name,Berry,ягода
@NamePool_116_Name,Misty,Місті
@NamePool_117_Name,Precious,дорогоцінний
@NamePool_118_Name,Wendy,Венді
@NamePool_119_Name,Mona,Мона
@NamePool_120_Name,Candy,Цукерки
@NamePool_121_Name,Yanni,Янні
@NamePool_122_Name,Hana,Хана
@NamePool_123_Name,Mandy,Менді
@NamePool_124_Name,Farah,Фара
@NamePool_125_Name,Pearl,Перлина
@NamePool_126_Name,Cher,Шер
@NamePool_127_Name,Rue,Рут
@NamePool_128_Name,Fran,Френ
@NamePool_129_Name,Ami,Амі
@NamePool_130_Name,Moll,Moll
@NamePool_131_Name,Lotus,Лотос
@NamePool_132_Name,Flo,Фло
@NamePool_133_Name,Charmaine,Шармен
@NamePool_134_Name,Jaz,Яз
@NamePool_135_Name,Ally,Союзник
@NamePool_136_Name,Lalla,Лалла
@NamePool_137_Name,Clara,Клара
@NamePool_138_Name,Pris,прис
@NamePool_139_Name,Aria,Арія
@NamePool_140_Name,Cora,Кора
@NamePool_141_Name,Trace,Слід
@NamePool_142_Name,Aggie,Еггі
@NamePool_143_Name,Kell,Келл
@NamePool_144_Name,Kiya,Кія
@NamePool_145_Name,Zoysia,Зойся
@NamePool_146_Name,Cy,Cy
@NamePool_147_Name,Jen,Джен
@NamePool_148_Name,Bree,Брі
@NamePool_149_Name,Jade,Джейд
@NamePool_150_Name,Miya,Мія
@NamePool_151_Name,Siena,Сієна
@NamePool_152_Name,Shui,шуй
@NamePool_153_Name,Twinkle,Іскорка
@NamePool_154_Name,Dura,Міцна
@NamePool_155_Name,Wei,Вей
@NamePool_156_Name,Fion,Фіон
@NamePool_157_Name,Su,Нд
@NamePool_158_Name,Winnie,Вінні
@NamePool_159_Name,Erin,Ерін
@NamePool_160_Name,Grace,Благодать
@NamePool_161_Name,Autumn,Осінь
@NamePool_162_Name,Raine,Рейн
@NamePool_163_Name,Snow,Сніг
@NamePool_164_Name,Swann,Сванн
@NamePool_165_Name,Bern,Берн
@NamePool_166_Name,Ji,Джи
@NamePool_167_Name,Lin,Лін
@NamePool_168_Name,Ryn,Рин
@NamePool_169_Name,Han,Хан
@NamePool_170_Name,Wu,Ву
@NamePool_171_Name,Cricket,Крикет
@NamePool_172_Name,Tong,Тонг
@NamePool_173_Name,North,північ
@NamePool_174_Name,Dusk,Сутінки
@NamePool_175_Name,Lou,Лу
@NamePool_176_Name,Cloud,Хмара
@NamePool_177_Name,Lex,Лекс
@NamePool_178_Name,Jay,Джей
@NamePool_179_Name,Kip,Кіп
@NamePool_180_Name,Crow,Ворона
@NamePool_181_Name,Fisher,Фішер
@NamePool_182_Name,Jun,Червень
@NamePool_183_Name,Fen,Фен
@NamePool_184_Name,Bernie,Берні
@NamePool_185_Name,Gizmo,Гізмо
@NamePool_186_Name,Chrys,Хруст
@NamePool_187_Name,Lef,Леф
@NamePool_188_Name,Dina,Діна
@NamePool_189_Name,Hela,Хела
@NamePool_190_Name,Seth,Сет
@NamePool_191_Name,Hesh,Хеш
@/Archivement_TotalDistance200_Name,First Steps,Перші кроки
@/Archivement_TotalDistance10000_Name,Around the Block,Навколо кварталу
@/Archivement_TotalDistance100000_Name,World-Weary,Втомлений світом
@/Archivement_TotalDistance1000000_Name,Dustlander,Пилоземник
@/Archivement_RoundDistance1000_Name,Baby Driver,Baby Driver
@/Archivement_RoundDistance5000_Name,Easy Rider,Легкий на їзду
@/Archivement_RoundDistance15000_Name,On the Road,На дорозі
@/Archivement_RoundDistance60000_Name,Nomadland,Земля кочевників
@/Archivement_RoundPeopleCount2_Name,Two's Company,Компанія двох
@/Archivement_RoundPeopleCount3_Name,Three's a Crowd,Троє - це натовп
@/Archivement_RoundPeopleCount4_Name,Quad Squad,Квадро-загін
@/Archivement_TotalPeopleRecruit6_Name,Foreman,Бригадир
@/Archivement_TotalPeopleRecruit10_Name,Shift Manager,Менеджер зміни
@/Archivement_TotalPeopleRecruit20_Name,General Manager,Генеральний менеджер
@/Archivement_TotalPeopleRecruit30_Name,Entrepreneur,Підприємець
@/Archivement_TotalPeopleRecruit40_Name,Capitalist,Капіталіст
@/Archivement_Event1204_Name,"Rain, Sleet, or Death","Дощ, сльота або смерть"
@/Archivement_Event1212_Name,Braving the Storm,Боротьба зі штормом
@/Archivement_Event1223_Name,What Lies Beneath,"Те, що приховане"
@/Archivement_Event1246_Name,Paradiso,Paradiso
@/Archivement_Event1250_Name,Spirited Away,Віднесені духами
@/Archivement_Event1259_Name,Higher Purpose,Вища мета
@/Archivement_Event1266_Name,One for All,Один за всіх
@/Archivement_Event1277_Name,All for One,Всі за одного
@/Archivement_Event1288_Name,Initiate,Посвячений
@/Archivement_Event1299_Name,Apostate,Відступник
@/Archivement_Event1311_Name,Into the Abyss,В безодню
@/Archivement_Event1318_Name,Jump Scare,Скрімер
@/Archivement_Event1322_Name,Whispers of Stone,Шепіт каменю
@/Archivement_Event1329_Name,Hill of Beans,Пагорб бобів
@/Archivement_Event1341_Name,Skeptic,Скептик
@/Archivement_Event1359_Name,Court Martial,Військовий суд
@/Archivement_Event1371_Name,Postman,Листоноша
@/Archivement_Event1375_Name,Tastes Like Pork,На смак як свинина
@/Archivement_Event1409_Name,Jack,Джек
@/Archivement_Event1417_Name,Ennis,Енніс
@/Archivement_Event1405_Name,Executive Producer,Виконавчий продюсер
@/Archivement_Event1430_Name,Treasure Hunter,Мисливець за скарбами
@/Archivement_Event1434_Name,Empty Words,Порожні слова
@/Archivement_Event1445_Name,Strangelove,Дивне кохання
@/Archivement_Event1455_Name,Granny Grifter,Бабуся Шахрайка
@/Archivement_Event1459_Name,Liberator,Визволитель
@/Archivement_Event252_Name,Engines On,Двигуни включені
@/Archivement_Event278_Name,COINTEL,Контррозвідка
@/Archivement_Event283_Name,Triple Agent,Потрійний агент
@/Archivement_Event289_Name,Belly of the Beast,Черево звіра
@/Archivement_Event293_Name,Ice Cold,Льодяний
@/Archivement_Event305_Name,Prison Break,Втеча з в'язниці
@/Archivement_Event314_Name,Racketeer,Рекетир
@/Archivement_Event404_Name,Ad Astra,До зірок
@/Archivement_Event415_Name,Crossroads,Перехрестя
@/Archivement_Event449_Name,Uncivilized,Нецивілізований
@/Archivement_Event466_Name,Voter Intimidation,Залякування виборців
@/Archivement_Event471_Name,Mole 2 Mole,Кріт 2 Кріт
@/Archivement_Event474_Name,Pink Slip,Рожевий талон
@/Archivement_Event486_Name,Mayormobile,Меромобіль
@/Archivement_Event5010_Name,Radio Free Dustlands,Радіо Вільний Пилозем
@/Archivement_Event5021_Name,The Tower,Вежа
@/Archivement_Event5033_Name,Dustland Delivery,Доставка Пилозему
@/Archivement_Event5048_Name,Data Recovery,Відновлення даних
@/Archivement_Event5069_Name,Holy Herb,Свята трава
@/Archivement_Event5092_Name,What a Scoop!,Який Совок!
@/Archivement_Event5099_Name,Voice of an Angel,Голос ангела
@/Archivement_Event5126_Name,Together in Death,Разом у смерті
@/Archivement_Event5130_Name,"A ""Thank You"" Would Be Nice",«Дякую» було б добре
@/Archivement_Event5150_Name,Code Cracker,Зломщик кодів
@/Archivement_Event5159_Name,Dances with Wolves,Танці з вовками
@/Archivement_Event5163_Name,"You Know Dogs Can Swim, Right?","Ви ж знаєте, що собаки вміють плавати?"
@/Archivement_Event5179_Name,At Least It's Not Horse Dewormer,Принаймні це не засіб від глистів для коней
@/Archivement_Event5185_Name,Incorruptible,Непідкупний
@/Archivement_Event5186_Name,Think About It,Подумайте про це
@/Archivement_Event5200_Name,Impresario,Імпресаріо
@/Archivement_Event5209_Name,"Ridi, Pagliaccio","Ріді, Паячо"
@/Archivement_Event4016_Name,Messy Business,Безладний бізнес
@/Archivement_Event4029_Name,Outfoxed,Перехитрили
@/Archivement_Event4019_Name,Patience Is a Virtue,Терпіння — це чеснота
@/Archivement_Event4047_Name,They Fell off a Truck,Вони впали з вантажівки
@/Archivement_Event4063_Name,Spin to Win,"Обертайтеся, щоб виграти"
@/Archivement_Event4068_Name,The Gambler,Азартний гравець
@/Archivement_Event4085_Name,No Rest for the Wicked,Немає відпочинку для нечестивих
@/Archivement_Event4098_Name,The Art of Persuasion,Мистецтво переконання
@/Archivement_Event4123_Name,Save the City,Врятуй місто
@/Archivement_Event4135_Name,Hero of the Valley,Герой Долини
@/Archivement_Event4146_Name,The Bunker,Бункер
@/Archivement_TotalRecipe5_Name,Commis Chef,Молодший кухар
@/Archivement_TotalRecipe30_Name,Chef de Partie,Шеф-де-Парті
@/Archivement_TotalRecipe70_Name,Sous Chef,Су-шеф
@/Archivement_TotalRecipe100_Name,Chef de Cuisine,Шеф-кухар
@/Archivement_TotalRecipe150_Name,Iron Chef,Залізний кухар
@/Archivement_TotalFoodFail1_Name,You Donkey!,Ти Осел!
@/Archivement_TotalFoodFail10_Name,Health Code Violation,Порушення Кодексу здоров'я
@/Archivement_TotalFoodFail100_Name,Typhoid Mary,Тифозна Мері
@/Archivement_Event9264_Name,Hang 'Em Up,Повісити їх
@/Archivement_DungeonEnter_Name,Amateur Archaeologist,Аматорський археолог
@/Archivement_DungeonReward1_Name,Dungeon Delver,Підземелля Дельвер
@/Archivement_DungeonReward10_Name,Dustland Jones,Дастленд Джонс
@/Archivement_DungeonSmallChanllenger_Name,Tight Squeeze,Щільно стиснути
@/Archivement_DungeonMiddleChanllenger_Name,Pretty Spacious,Досить просторий
@/Archivement_DungeonLargeChanllenger_Name,Are We Really Underground?,Ми справді під землею?
@/Archivement_RoadPlaner_Name,Man With a Plan,Людина з планом
@/Archivement_RoadBuilder1_Name,Hit the Road,Вирушайте в дорогу
@/Archivement_RoadBuilderTotal500_Name,Road Crew,Дорожня бригада
@/Archivement_RoadBuilderTotal2000_Name,Road Contractor,Дорожній підрядник
@/Archivement_RoadBuilderTotal5000_Name,Long and Winding Road,Довга і звивиста дорога
@/Archivement_BossSlayer_Name,Not the Boss of Me,Не бос мене
@/Archivement_TitanSlayer_Name,Titan Fightin' Machine,Бойова машина титанів
@/Archivement_HordeSlayer_Name,Horde-Core,Орда-Ядро
@/Archivement_Event10121_Name,The First Password,Перший пароль
@/Archivement_Event10066_Name,The Second Password,Другий пароль
@/Archivement_Event10063_Name,Quarantined,Карантинний
@/Archivement_Event10228_Name,Who Do You Think You Are?,"Хто ти думаєш, що ти?"
@/Archivement_Event11024_Name,Visible Hand,Видима рука
@/Archivement_Event10294_Name,La Historia Me Absolverá,La historia me nableverá
@/Archivement_Event10376_Name,All Men Are Created Equal,Усі чоловіки створені рівними
@/Archivement_Event10399_Name,Big Pharma,Велика аптека
@/Archivement_Event10398_Name,Discharge Papers,Розряджені папери
@/Archivement_Event10405_Name,Solidarity Forever,Солідарність назавжди
@/Archivement_Event11081_Name,Sic Semper Tyrannis,Sic semper tyrannis
@/Archivement_Event11101_Name,And Death Shall Have No Dominion,І смерть не має панування
@/Archivement_TotalDistance200_Description,Travel a total of 200 km.,Подорожуйте 200 км.
@/Archivement_TotalDistance10000_Description,"Travel a total of 10,000 km.",Подорожуйте 10 000 км.
@/Archivement_TotalDistance100000_Description,"Travel a total of 100,000 km.",Подорожуйте 100 000 км.
@/Archivement_TotalDistance1000000_Description,"Travel a total of 1,000,000 km.",Подорожуйте 1 000 000 км.
@/Archivement_RoundDistance1000_Description,"Travel 1,000 km in a single playthrough.",Подорожуйте 1000 км за одне проходження.
@/Archivement_RoundDistance5000_Description,"Travel 5,000 km in a single playthrough.",Подорожуйте 5000 км за одне проходження.
@/Archivement_RoundDistance15000_Description,"Travel 15,000 km in a single playthrough.",Подорожуйте 15 000 км за одне проходження.
@/Archivement_RoundDistance60000_Description,"Travel 60,000 km in a single playthrough.",Подорожуйте 60 000 км за одне проходження.
@/Archivement_RoundPeopleCount2_Description,Have 2 crew members in your truck.,В команді 2 члена екіпажу
@/Archivement_RoundPeopleCount3_Description,Have 3 crew members in your truck.,В команді 3 члена екіпажу
@/Archivement_RoundPeopleCount4_Description,Have 4 crew members in your truck.,В команді 4 члена екіпажу
@/Archivement_TotalPeopleRecruit6_Description,Hire 6 characters at the Bar.,Найміть 6 персонажів у Барі.
@/Archivement_TotalPeopleRecruit10_Description,Hire 10 characters at the Bar.,Найміть 10 персонажів у Барі.
@/Archivement_TotalPeopleRecruit20_Description,Hire 20 characters at the Bar.,Найміть 20 персонажів у Барі.
@/Archivement_TotalPeopleRecruit30_Description,Hire 30 characters at the Bar.,Найміть 30 персонажів у Барі.
@/Archivement_TotalPeopleRecruit40_Description,Hire 40 characters at the Bar.,Найміть 40 персонажів у Барі.
@/Archivement_Event1204_Description,Fulfill an old man's dying wish.,Виконайте передсмертне бажання старого.
