Localization,en,uk
CityPeopleManager_TruckFullHint,Truck Full,Вантажівка повна
FundPanelScript_BadRelationship,(Bad relations),(Погані стосунки)
FundPanelScript_Buy,Purchase Creds,Купівля кредитів
FundPanelScript_Fee,Handling Fee: ,Плата за обробку:
FundPanelScript_Note,[Note] Purchasing Creds outside of your city will use Scrap from your city's Depot.,[Примітка] При купівлі Кредитів за межами вашого міста буде використано Брухт зі складу вашого міста.
FundPanelScript_Note2,"The higher your city's Prosperity, the lower the handling fee.","Чим вищий рівень процвітання вашого міста, тим менша плата за обробку."
FundPanelScript_Note3,"You can exchange Scrap for Creds or vice-versa in your city, at the Bank, or at the Bar. Creds do not take up space in your truck.\n\nA handling fee is charged for Cred exchanges. Different locations charge different handling fees.\n\nYour City: The higher your city's Prosperity, the lower the handling fee.\n\nBank: Fixed handling fee.\n\nBar: Determined by your relations with the faction that owns the city. The better your relations, the lower the handling fee.","Ви можете обміняти скрап на Кредити або навпаки у своєму місті, у банку чи барі. АКредитиви не займають місця у вашій вантажівці.\n\nЗа обмін кредитів стягується плата за обробку. У різних місцях стягується різна комісія за обробку.\n\nВаше місто: чим вище процвітання вашого міста, тим нижча комісія за обробку.\n\nБанк: фіксована плата за обробку.\n\nБар: визначається вашими стосунками з фракцією, яка володіє містом. Чим кращі ваші стосунки, тим нижча плата за обробку."
FundPanelScript_Price,Price:  ,Ціна:
FundPanelScript_Withdraw,Sell Creds,Продати Кредити
StoreExchangeWindow_CityWarehouse,City Depot,Міське Депо
StoreExchangeWindow_PutInCity,Deposited {0} x{1} in city,Віддано {0} x {1} у місто
StoreExchangeWindow_TakeFromCity,Took {0} x{1} from city,Взяв {0} x {1} з міста
StoreExchangeWindow_UpgradeWarehouse,Upgrade Depot,Покращити депо
StoreExchangeWindow_YourWarehouse,Your Storage,Ваше сховище
StoreExchangeWindowScript_CityInventory,City Storage: ,Міське сховище:
StoreExchangeWindowScript_StoreCapacity,Storage Capacity: \n{0},Ємність зберігання: \n{0}
StoreExchangeWindowScript_StoreLevel,Depot Level: {0},Рівень депо: {0}
StoreExchangeWindowScript_VehicleInventory,Truck Storage: ,Зберігання вантажівок:
TeamManager_MoralHigh,{0} is disgusted by your repugnant actions.,{0} відчуває огиду через ваші огидні дії.
TeamManager_MoralLow,{0} is disgusted by your goody-two-shoes actions.,{0} відчуває огиду до ваших дій із двома черевиками.
TeamWindow_Hint1,Determines strength of melee attacks. Value is the sum of all Crew members' Attack stats.,Визначає силу атак ближнього бою. Значення — це сума атак усіх членів команди.
TeamWindow_Hint10,Value is the Crew's average Virtue stat.,Значення — це середній показник Чесноти команди.
TeamWindow_Hint11,"Represents the disparity in Virtue between Crew members. The higher your Crew Divergence, the more likely that ethical choices may cause discord in your Crew. Some Crew members may even choose to leave.","Представляє різницю в Чеснот між членами команди. Чим вище розбіжність вашої команди, тим більша ймовірність того, що етичний вибір може спричинити розбрат у вашій команді. Деякі члени команди можуть навіть вирішити піти."
TeamWindow_Hint2,Determines success rate of ranged attacks. Value is the Crew's highest Focus stat.,Визначає рівень успішності атак з дистанції. Значення — це найвищий показник концентрації команди.
TeamWindow_Hint3,Crew Speech is determined by the Crew's highest Speech stat. Success when haggling is determined by the Negotiator's Speech stat.,Мова екіпажу визначається найвищим показником мовлення екіпажу. Успіх під час торгу визначається показником мови учасника переговорів.
TeamWindow_Hint4,Determines success rate when crafting. Value is the Crew's highest Crafting stat.,Визначає рівень успіху під час крафту. Значення — це найвища характеристика Ремесла у команді.
TeamWindow_Hint5,"Determines success rate when hunting, and alertness of quarry. Value is the Crew's average Hunting stat.",Визначає відсоток успіху при полюванні та пильність здобичі. Значення — це середня характеристика полювання команди.
TeamWindow_Hint6,Determines catch size and rod tension when fishing. Value is the Crew's average Fishing stat.,Визначає розмір улову і натяг вудки під час риболовлі. Значення — це середня статистика риболовлі екіпажу.
TeamWindow_Hint7,Determines amount received when foraging. Value is the sum of all Crew members' Foraging stats. Max: {0}.,"Визначає кількість, отриману при пошуку їжі. Значення — це сума усіх членів екіпажу. Макс.: {0}."
TeamWindow_Hint8,Determines cooking quality. Value is the Crew's highest Cooking stat.,Визначає якість приготування. Значення — це найвищий показник кулінарії команди.
TeamWindow_Hint9,Determines success rate when researching Blueprints. Value is the Crew's highest Intellect stat.,Визначає рівень успіху під час дослідження Креслень. Значення — це найвищий показник інтелекту команди.
TeamWindow_NoOneNeedPay,No one needs their salary paid.,Нікому не потрібна зарплата.
TeamWindow_Payment4,Next payday: {0}d,Наступний день виплати: {0}d
TeamWindow_Team1,Crew Attack,Атака екіпажу
TeamWindow_Team10,Crew Virtue,Чеснота екіпажу
TeamWindow_Team11,Crew Divergence,Розбіжність екіпажу
TeamWindow_Team2,Crew Focus,Фокус екіпажу
TeamWindow_Team3,Crew Speech,Мова екіпажу
TeamWindow_Team4,Crew Crafting,Ремесло екіпажу
TeamWindow_Team5,Crew Hunting,Полювання екіпажу
TeamWindow_Team6,Crew Fishing,Риболовля екіпажу
TeamWindow_Team7,Crew Foraging,Збір екіпажу
TeamWindow_Team8,Crew Cooking,Кулінарія екіпажу
TeamWindow_Team9,Crew Intellect,Інтелект екіпажу
TeamWindow_TitleCar,Crew Salaries,Заробітна плата екіпажу
TeamWindow_TitleSC,Settlement Salaries,Зарплати поселенців
MarketManager_AfterBuy,"Others purchased the same products as you, changing the price and amount available.","Інші купували ті самі товари, що й ви, змінюючи ціну та доступну кількість."
MarketManager_AfterSell,"Others sold the same products as you, changing the price and amount available.","Інші продавали ті самі товари, що й ви, змінюючи ціну та доступну кількість."
MarketManager_Cost,Exchanged {0} Scrap for {1} Creds.,Обмінено {0} Брухту на {1} кредитів.
MarketManager_Discount11,You successfully upsold for a 10% premium on {1} x{0}.,Ви успішно заговорили зуби 10% націнки {1} x {0}.
MarketManager_Discount9,You successfully bargained for a 10% discount on {1} x{0}.,"Ви успішно сторгувалися, знижка 10% на {1} x {0}."
MarketManager_FailBuy,Bargaining failed. {1} x{0} purchased at original price.,Торг не вдався. {1} x {0} придбано за початковою ціною.
MarketManager_FailSell,Upsell failed. {1} x{0} sold at original price.,Додатковий продаж не вдалося. {1} x {0} продано за початковою ціною.
MarketManager_Get,Exchanged {1} Creds for {0} Scrap.,Обміняно {1} кредитів на {0} Брухту.
MarketManager_LessoneDay,Less than 1 day.,Менше 1 дня.
MarketManager_NoInfo,No market info available.,Немає інформації про ринок.
MarketManager_NormalBuy,Purchased {1} x{0}.,Придбано {1} x {0}.
MarketManager_NormalSell,Sold {1} x{0}.,Продано {1} x {0}.
MarketManager_Note1,You can't afford it.,Ви не можете собі це дозволити.
MarketManager_Note2,The store can't afford that.,Магазин не може собі цього дозволити.
MarketManager_SelfCityCost,Exchanged {0} Scrap for {1} Creds in your city.,Обміняно {0} Брухту на {1} кредитів у вашому місті.
MarketManager_SelfCityGet,Exchanged {1} Creds for {0} Scrap in your city.,Обміняно {1} кредитів на {0} Брухту у вашому місті.
MarketManager_SelfCityNoGear,Not enough Scrap in storage.,Недостатньо Брухту на складі.
MarketManager_SelfCityNoMoney,"You're out of funds. Better find some, quick.","У вас закінчилися кошти. Краще знайди трохи, швидше."
MarketManager_SelfCityNote1,Transaction canceled as it would exceed your storage limit.,"Трансакцію скасовано, оскільки вона перевищить ліміт пам’яті."
MarketManager_SelfCityNote2,Your city has welcomed a trader caravan.,Ваше місто зустріло торговельний караван.
MarketManager_SelfCitySB,Ok,Добре
MarketManager_Shortage,Shortage,Дефіцит
MarketManager_ShortageInfo,There is a {1} shortage in {0}.\n{2} stocks are running low.\nExpected duration: {3},У {0} бракує {1}.\n Запаси на {2} закінчуються.\nОчікувана тривалість: {3}
MarketManager_Surplus,Surplus,Надлишок
MarketManager_SurplusInfo,There is a {1} surplus in {0}.\n{2} stocks are overflowing.\nExpected duration: {3},Є {1} надлишок у {0}.\n{2} запаси переповнені.\nОчікувана тривалість: {3}
PurchasePanelScript_GoodRelationship,(Good relations),(Хороші стосунки)
PurchasePanelScript_Price,Price: ,Ціна:
PurchasePanelScript_Reference, Base price:  ,Базова ціна:
PurchasePanelScript_Unit,Unit price: ,Ціна за одиницю:
ShopWindowItem_Inventory,{0}: {1},{0}: {1}
MissionAndTaskMapUI_NotInSameMap,Target in another map,Ціль на іншій карті
MissionManager_BUG!,You've encountered a bug. Please reload a previous save and contact Support. Error code: 10045_,Ви зіткнулися з помилкою. Перезавантажте попереднє збереження та зверніться до служби підтримки. Код помилки: 10045_
MissionManager_featureOfChamber,"\nAs a Syndicate member in a Syndicate city, you gain a 20% commission and 5 Clout.",\nЯк член Синдикату в місті Синдикату ви отримуєте 20% комісії та 5 балів Впливу.
MissionManager_GetTask,Task received,Завдання отримано
MissionManager_Hurry,Ok,Добре
MissionManager_NoResource,{0} {1} required. You only have {2}.,Потрібно {0} {1}. У вас лише {2}.
MissionManager_TaskComplete,You completed the task. Well done!\nReward: {0} Scrap\n{1} Clout\n{2},Ви виконали завдання. Молодець!\nНагорода: {0} Брухт\n{1} вплив\n{2}
MissionManager_TaskOutOfTime,Task Expired,Термін дії завдання минув
MissionPanelUI_See,View,Переглянути
MissionPanelUIScript_RemainTime,Time Left: {0},Залишилося часу: {0}
MissionPanelUIScript_RequireGoods,Goods:\n{0} x{1},Товари:\n{0} x{1}
MissionPanelUIScript_TargetCity,Destination:\n{0},Пункт призначення:\n{0}
MissionWindow_GetTask,Get Task,Отримати завдання
MissionWindow_GiveUp,Quit Task,Вийти із завдання
MissionWindowScript_BuyOneself,[Self-procured] [Owned: {0}],[Здобутий самостійно] [Власник: {0}]
MissionWindowScript_Client,Client: {0},Клієнт: {0}
MissionWindowScript_ClientGive,[Provided by client] [Weight: {0}],[Надано клієнтом] [Вага: {0}]
MissionWindowScript_Common,Normal,нормальний
MissionWindowScript_Description,{0}. Deliver {1} to {2}.\n{3}\n\n{4},{0}. Доставте {1} до {2}.\n{3}\n\n{4}
MissionWindowScript_NewDescription,Deliver {0} to {1}.,Доставте {0} до {1}.
MissionWindowScript_Difficulty,Difficulty: {0},Складність: {0}
MissionWindowScript_Easy,Easy,Легка
MissionWindowScript_ExtremelyDifficult,Very Hard,Дуже важка
MissionWindowScript_Hard,Hard,Важка
MissionWindowScript_Medium,Medium,Середня
MissionWindowScript_Reward,Reward: ,Нагорода:
MissionWindowScript_TimeLimit,Time: ,Час:
TaskManager_AccomplishTask,Task Completed: {0},Завдання виконано: {0}
TaskManager_StartTask,Task Started: {0},Розпочато завдання: {0}
TaskPanelUI_TaskGuide,\n\n[Task Guide]\n,\n\n[Посібник із завдань]\n
CurePeopleUI_Cure,Heal,Вилікувати
CurePeopleUIScript_Note,({0}) Heal with {1}?\nSuccess rate: {2}% Duration: {3},({0}) Вилікувати за допомогою {1}?\nРівень успішності: {2}% Тривалість: {3}
CureSelfCityUI_GiveUp,Give up,Здатися
CureSelfCityUI_Title,Healing,Загоєння
DrinkPeopleUIScript_DrinkConfirm,({0}) Drink {1}?\nStress: -{2} Drunk: {3},({0}) П’яний {1}?\nСтрес: -{2} П’яний: {3}
DrinkPeopleUIScript_DrinkEffect,Stress: -{0}\nDrunk: {1},Стрес: -{0}\nП'яний: {1}
EatFoodUI_Eat,Eat,Їсти
EatFoodUIScript_EatingAffect,Hunger: -{0}\n{1}Stress Relief: {2}{3},Голод: -{0}\n{1}Зняття Стресу: {2}{3}
EatFoodUIScript_EatingConfirm,({0}) Eat {1}?,({0}) Їсти {1}?
EatFoodUIScript_FavorateFalvour,Preference: {0},Налаштування: {0}
EatFoodUIScript_NotHungry,{0} isn't hungry.,{0} не голодний.
EmployeeWindow1_DungeonSkill,Ruin Skill,Дослідництво(руїни)
EmployeeWindow1_Employ,Hire,Найняти
EmployeeWindow1_EmployPrice,Hire Price,Ціна найму
EmployeeWindow1_Hint1,Increase Crew Focus to gather more intel.,"Збільште Фокус екіпажу, щоб зібрати більше інформації."
EmployeeWindow1_Hint2,Hiring costs Scrap. Salaries cost Creds.,Витрати на найм Брухт. Зарплати коштують Кред.
EmployeeWindow1_Salary,Salary,Зарплата
EmployeeWindow1Script_CreditPoint,\nCreds,\nКредити
EmployeeWindow1Script_LowAttention1,Your Crew Focus isn't high enough to ascertain this trait.,"Ваша Фокус екіпажу недостатньо висока, щоб розвідати цю рису."
EmployeeWindow1Script_LowAttention2,Your Crew Focus isn't high enough to ascertain this skill.,"Ваша Фокус екіпажу недостатньо висока, щоб розвідати цей навик."
EmployeeWindow1Script_Party,Faction: ,Фракція:
EquipWindow_LackFood,Not enough food.,Не вистачає їжі.
EquipWindow_TrainPet,Spend Rations x1 to train pet?,Витратити Раціон x1 на дресирування домашньої тварини?
EquipWindow_YourEquip,Equipment,Обладнання
HeroUpgradeWindowScript_AvailablePoints,Available trait points: ,Доступні бали рис:
HeroUpgradeWindowScript_GetBad,+Random bad trait\n\n<size=15>Books: 25   \nTrait points: +1-2</size>,+Випадкова погана риса\n\n<size=15>Книги: 25 \nОчки рис: +1-2</size>
HeroUpgradeWindowScript_GetGood,+Random good trait\n\n<size=15>Books: 10   \nTrait points: -2</size>,+Випадкова гарна риса\n\n<size=15>Книги: 10 \nОчки рис: -2</size>
HeroUpgradeWindowScript_Note,Gaining a particularly good trait may also grant you a bad trait. Proceed?,Отримання особливо хорошої риси також може надати вам погану рису. Продовжити?
HeroUpgradeWindowScript_NoteNo,No,Ні
HeroUpgradeWindowScript_NoteYes,Yes,Так
HeroUpgradeWindowScript_Points,Trait points: ,Очки рис:
HeroUpgradeWindowScript_RemoveBad,-Random bad trait\n\n<size=15>Books: 10   \nTrait points: -3</size>,-Випадкова погана риса\n\n<size=15>Книги: 10 \nОчки рис: -3</size>
HeroUpgradeWindowScript_RemoveGood,-Random good trait\n\n<size=15>Books: 50   \nTrait points: +1-2</size>,-Випадкова хороша риса\n\n<size=15>Книги: 50 \nОчки рис: +1-2</size>
HeroWindow_Accuracy,"A character's hit rate with guns in combat. Determined by the character's Focus, their weapon, and its modifications.","Показник влучності персонажа зі зброєю під час бою. Визначається Фокусом персонажа, його зброєю та її модифікаціями."
HeroWindow_AddPoint,Attributes\n<size=16>Trait points: {0}</size>,Атрибути\n<size=16>Очки рис: {0}</size>
HeroWindow_AdvancePay,Salary Advance,Аванс із зарплати
HeroWindow_Attention,A character's ability to pay attention. Determined by attribute value and equipment. See the Crew Attributes tab for more information.,Здатність персонажа звертати увагу. Визначається значенням атрибута та обладнанням. Для отримання додаткової інформації перегляньте вкладку «Атрибути екіпажу».
HeroWindow_Body,A character's physical fitness. Determined by attribute value and equipment. Higher Fitness allows characters to drive for longer without becoming Fatigued.,"Фізична підготовленість персонажа. Визначається значенням атрибута та обладнанням. Вища фізична підготовка дозволяє персонажам довше керувати автомобілем, не втомлюючись."
HeroWindow_CityVisited,[Cities Visited]\n,[Відвідані міста]\n
HeroWindow_Coffee,"Drinking Coffee resets your Fatigue. It's expensive stuff, so use it wisely.","Вживання кави скидає вашу втому. Це дорога річ, тому використовуйте її з розумом."
HeroWindow_Collect,Determines how much a character can forage from forests. See the Crew Attributes tab for more information.,"Визначає, скільки персонаж може добувати їжі в лісі. Для отримання додаткової інформації перегляньте вкладку «Атрибути команди»."
HeroWindow_Comfort,Who will console this trucker?,Хто втішить цього далекобійника?
HeroWindow_Cook,A character's cooking ability. See the Crew Attributes tab for more information.,Кулінарні здібності персонажа. Для отримання додаткової інформації перегляньте вкладку «Атрибути екіпажу».
HeroWindow_Craft,A character's ability to craft items using Blueprints. Determined by attribute value and equipment.,Здатність персонажа створювати предмети за допомогою креслень. Визначається значенням атрибута та обладнанням.
HeroWindow_Cultivation,Determines bonuses a character receives from pets.,"Визначає бонуси, які персонаж отримує від домашніх тварин."
HeroWindow_Cure,"Heals your character. Wounded characters can be healed using Medkits. Characters with untreated wounds cannot fight or drive, and will die within 4-8 days.",Лікує персонажа. Поранених персонажів можна зцілити за допомогою аптечок. Персонажі з необробленими ранами не можуть битися чи керувати автомобілем і помруть протягом 4-8 днів.
HeroWindow_Defend,"Defense determines the chance that your character will get hit in melee combat. The larger the difference between your Defense and the enemy's Attack, the greater your chance of getting wounded. Wearing armor increases your Defense.","Захист визначає ймовірність того, що ваш персонаж отримає удар у рукопашному бою. Чим більша різниця між вашим захистом і атакою ворога, тим більший ваш шанс отримати поранення. Носіння броні підвищує ваш захист."
HeroWindow_DischargePet,Remove Pet,Видалити улюбленця
HeroWindow_Dismiss,Fire this character?,Звільнити цього персонажа?
HeroWindow_Drink,"Drinking alcohol reduces your Stress. Drunk characters cannot drive or fight, but their Stress will not increase.","Вживання алкоголю знижує ваш Стрес. П'яні персонажі не можуть керувати автомобілем або битися, але їх Стрес не збільшиться."
HeroWindow_DrinkCoffee,"Drinking Coffee will reset your Fatigue, but it's expensive stuff. Drink it?","Вживання кави скине вашу втому, але це дорога річ. Випити?"
HeroWindow_DrinkOil,Consume {0} Fuel to fill up?,"Витратити {0} палива, щоб заправитися?"
HeroWindow_DrinkWater,Drinking Water reduces your Thirst. You can enable automatic Water consumption from your truck's menu.,Питна вода зменшує вашу спрагу. Ви можете ввімкнути автоматичне споживання води з меню вантажівки.
HeroWindow_Eat,"You can select what type of food a character will eat. The larger a character's Appetite, the less their Hunger will be reduced. You can enable automatic eating from your truck's menu. By default, characters will prioritize Rations when auto-eating.","Ви можете вибрати, яку їжу буде їсти персонаж. Чим більший апетит у персонажа, тим менше буде зменшено його голод. Ви можете ввімкнути автоматичний прийом їжі з меню вашої вантажівки. За замовчуванням персонажі встановлюють пріоритет Раціонам під час автоматичного споживання їжі."
HeroWindow_Eloquence,A character's Speech determines their success rate when haggling or interacting with others at the Bar. Determined by attribute value and equipment. See the Crew Attributes tab for more information.,Мовлення персонажа визначає його рівень успіху під час торгів або взаємодії з іншими в барі. Визначається значенням атрибута та обладнанням. Для отримання додаткової інформації перегляньте вкладку «Атрибути команди».
HeroWindow_ExperienceHate,\n\n[Disliked Events]\n,"\n\n[Події, які не сподобалися]\n"
HeroWindow_ExperienceLike,\n\n[Liked Events]\n,\n\n[Сподобалися події]\n
HeroWindow_Farm,A character's knowledge of agriculture. A higher Farming attribute increases your city's agricultural output. Determined by attribute value and equipment.,Знання персонажа про сільське Тваринницвто. Вищий атрибут Farming збільшує сільськогосподарську продукцію вашого міста. Визначається значенням атрибута та обладнанням.
HeroWindow_Fatigue,"Fighting and driving increases Fatigue. When a character reaches their Fatigue limit, they will become Exhausted. Exhausted characters cannot fight or drive. You can reduce Fatigue by resting, sleeping, or drinking Coffee.","Боротьба та водіння збільшують втому. Коли персонаж досягає межі втоми, він стає виснаженим. Виснажені персонажі не можуть битися або їздити. Ви можете зменшити втому, відпочиваючи, виспавшись або випивши кави."
HeroWindow_FavorDetail,<size=25>Opinions</size>\n\n,<size=25>ВІдносини</size>\n\n
HeroWindow_FightValue,A character's Attack is determined by attribute value and equipment. See the Crew Attributes tab for more information. ,Атака персонажа визначається значенням атрибута та обладнанням. Для отримання додаткової інформації перегляньте вкладку «Атрибути екіпажу».
HeroWindow_Fishing,A character's ability to catch fish. See the Crew Attributes tab for more information.,Здатність персонажа ловити рибу. Для отримання додаткової інформації перегляньте вкладку «Атрибути команди».
HeroWindow_FixRobot,Consume {0} Scrap to fix?,"Споживати {0} Брухту, щоб виправити?"
HeroWindow_GetOfftheCar,"Removes a character from your truck. If they're not in a city when they get out, things might not end well for them.","Видаляє персонажа з вашої вантажівки. Якщо вони не в місті, коли виходять, все може закінчитися не дуже добре для них."
HeroWindow_Hung,Each point of Appetite reduces the amount of Hunger relieved when eating by 6%. Characters with very large Appetite will deplete your crew's Food supplies more quickly.,"Кожна точка апетиту зменшує відчуття голоду, яке втамовується під час їжі, на 6%. Персонажі з дуже великим апетитом швидше вичерпають запаси їжі вашої команди."
HeroWindow_Hunger,"A character's Hunger increases over time. Eating reduces Hunger. Hungry characters cannot fight or drive. If a character is Hungry for a long period of time, they may die.","Голод персонажа з часом зростає. Їжа зменшує почуття голоду. Голодні персонажі не можуть битися або їздити. Якщо персонаж голодний протягом тривалого часу, він може померти."
HeroWindow_Hunt,A character's ability to hunt for food in forests. See the Crew Attributes tab for more information.,Здатність персонажа шукати їжу в лісі. Для отримання додаткової інформації перегляньте вкладку «Атрибути команди».
HeroWindow_Intelligence,A character's ability to study Blueprints. Characters with higher Intellect also gain more EXP.,Здатність персонажа вивчати креслення. Персонажі з вищим інтелектом також отримують більше досвіду.
HeroWindow_LackCredit,Not enough Creds.,Недостатньо кредитів.
HeroWindow_LikeData,"A character's opinions of people, places, and events. Click characters in the Opinions tab to see more information about their relationship.","Думка персонажа про людей, місця та події. Клацніть персонажів на вкладці «Думки», щоб побачити більше інформації про їхні стосунки."
HeroWindow_Mood,"A character's Stress increases over time. You can reduce Stress by partying, staying at an Inn, getting frisky, or watching the sunrise. When a character exceeds their Stress limit, it may have negative effects. If that character is the only member of your Crew, their journey may come to an end in a particularly explosive fashion.","Стрес персонажа з часом зростає. Ви можете зменшити Стрес, проводячи вечірки, залишаючись у корчмі, бадьоріючи або спостерігаючи за світанком. Коли персонаж перевищує ліміт Стресу, це може мати негативні наслідки. Якщо цей персонаж є єдиним членом вашої команди, їхня подорож може закінчитися особливо вибуховим чином."
HeroWindow_Morality,A character's moral standing. See the Crew Attributes tab for more details.,"Моральний стан персонажа. Перегляньте вкладку «Атрибути екіпажу», щоб дізнатися більше."
HeroWindow_NoDungeonSkill,This character has no Ruin Skill.,У цього персонажа немає навику руїни.
HeroWindow_PayHold,Settle one month's debt for {0} Creds?,Погасити місячний борг за {0} кредитів?
HeroWindow_PeopleHate,\n\n[Disliked People]\n,"\n\n[Люди, які не сподобалися]\n"
HeroWindow_PeopleKnow,\n\n[Known People]\n,\n\n[Відомі люди]\n
HeroWindow_PeopleLike,\n\n[Liked People]\n,\n\n[Люди які сподобалися]\n
HeroWindow_PerRound,{0}/round,{0}/раунд
HeroWindow_PlaceHate,[Disliked Places]\n,[Нелюбімі місця]\n
HeroWindow_PlaceLike,[Liked Places]\n,[Улюблені місця]\n
HeroWindow_RobotPet,Robots cannot equip pets.,Роботи не можуть екіпірувати домашніх тварин.
HeroWindow_SalaryAuto,Auto-Salary,Авто-Зарплата
HeroWindow_SalaryPaidAdvance,Pay one month's salary in advance for {0} Creds? This will reduce this character's Stress by {1}.,Виплатити місячну зарплату наперед за Кредити {0}? Це зменшить Стрес цього персонажа на {1}.
HeroWindow_Set,Sets a character as the driver. Driving increases Fatigue over time.,Встановлює персонажа як водія. Водіння з часом збільшує втому.
HeroWindow_Shoot,How much Ammo a character consumes each round when shooting. Determined by a character's weapon.,Скільки Патроінв персонаж споживає за кожен раунд під час стрільби. Визначається зброєю персонажа.
HeroWindow_StatusQues,"[Happy] Speech, Focus, Defense and Attack +20%.\n[Exhausted] Cannot fight or drive.\n[Stressed] May trigger Stress events.\n[Hungry] Cannot fight or drive. Will die if Hunger is not sated within a few days.\n[Wounded] Cannot fight or drive. Will die if wounds are not treated within a few days.\n[Drunk] Cannot fight or drive. Gradually reduces Stress. Will sober up after a while.","[Щасливий] Мова, Фокус, Захист і Атака +20%.\n[Виснажений] Не може битися чи їздити.\n[Стрес] Може викликати події зі Стресом.\n[Голодний] Не може битися чи їздити. Помре, якщо голод не втамується протягом кількох днів.\n[Поранений] Не може битися чи керувати автомобілем. Помре, якщо рани не обробити протягом кількох днів.\n[П’яний] Не може битися чи керувати автомобілем. Поступово знижує Стрес. Через деякий час протверезіє."
HeroWindow_Thirst,"A character's Thirst increases over time. Drinking Water resets Thirst. Thirsty characters cannot fight or drive, and will die if their Thirst is not quenched for a long period of time.","Спрага персонажа з часом зростає. Питна вода знімає спрагу. Спраглі персонажі не можуть битися чи їздити, і помруть, якщо їхню спрагу не втамувати протягом тривалого часу."
HeroWindow_ToTired,This character is too Fatigued to drive.,"Цей персонаж занадто втомлений, щоб керувати автомобілем."
HeroWindow_WageAdvance,<color=#66FF66>{0}m advance</color>,<color=#66FF66>{0}м вперед</color>
HeroWindow_WageDeadline,Next payday: {0}d,Наступний день виплати: {0}d
HeroWindow_WageHold,<color=#FF6666>Owed {0}m</color>,<color=#FF6666>Заборговано {0} м</color>
HeroWindow_WageMonth,Salary:\n{0} Creds/month\n\nStatus:\n{1},Зарплата:\n{0} кредитів/місяць\n\nСтатус:\n{1}
HeroWindow_XPLevel,EXP Level: {0}\nEXP: {1}/{2},Рівень <color=#b8b82e>ОД</color>: {0}\n<color=#b8b82e>ОД</color>: {1}/{2}
PeopleEvent_AllTired,Your Crew is Exhausted.,Ваша команда виснажена.
PeopleEvent_CreditLack,Not enough Creds.,Недостатньо кредитів.
PeopleEvent_DoNotEat,{0} won't eat that.,{0} не буде цього їсти.
PeopleEvent_Drink,{0} drank {1}.,{0} випив {1}.
PeopleEvent_DrinkCoffee,"{0} drank Coffee, and feels wide awake now.","{0} випив кави, і зараз почувається прокинутим."
PeopleEvent_DrinkGas,{0} drank Fuel. Glug glug glug!,{0} випив пальне. Глуг глюг глюг!
PeopleEvent_DrinkWater,{0} drank Water.,{0} випив воду.
PeopleEvent_DriverDrunk,Your driver is Drunk. Switch drivers or wait for them to sober up.,"Ваш водій п'яний. Поміняйте водіїв або чекайте, поки вони протверезіють."
PeopleEvent_DriverHungry,Your driver is Hungry. Switch drivers or give them some food.,Ваш водій голодний. Поміняйте водіїв або дайте їм трохи їжі.
PeopleEvent_DriverHurt,Your driver is Wounded. Switch drivers or heal their wounds.,Ваш водій поранений. Змініть водіїв або залікуйте їхні рани.
PeopleEvent_DriverThirsty,Your driver is Thirsty. Switch drivers or give them some Water.,Ваш водій Thirsty. Поміняйте водіїв або дайте їм води.
PeopleEvent_DriverTired,Your driver is Exhausted. Switch drivers or let them rest.,Ваш водій виснажений. Поміняйте водіїв або дайте їм відпочити.
PeopleEvent_Eat,{0} ate {1}.,{0} з'їв {1}.
PeopleEvent_EatEww,"{0} ate {1}, then threw up.","{0} з’їв {1}, а потім вирвав."
PeopleEvent_EatWow,"{0} ate {1}, and loved it!","{0} їв {1}, і це йому сподобалося!"
PeopleEvent_FireArgue,"{0} won't get out of the truck in a Plague Zone, and is aggressively refusing to leave.",{0} не виходить із вантажівки в зоні чуми та агресивно відмовляється виїхати.
PeopleEvent_FireFinally,{0} finally left. Good riddance!,{0} нарешті пішов. Гарного позбавлення!
PeopleEvent_FireGiveMoney,Lost {0} Scrap.,Втрачено {0} записки.
PeopleEvent_FireInInfection,Getting out of the truck here would be suicide.,Вийти з вантажівки тут було б самогубством.
PeopleEvent_FireInjury,"{0} is Wounded. You wouldn't leave an injured person to die, would you?","{0} поранений. Ви б не залишили пораненого помирати, чи не так?"
PeopleEvent_FireLastGuy,"You step out of the truck, feel the wind through your hair, and chuckle. You can't fire yourself, no matter how hard you try.","Ви виходите з вантажівки, відчуваєте вітер у своєму волоссі й смієтеся. Сам не звільнишся, як не старайся."
PeopleEvent_FireMoney,There's a city not far from here. You give {0} some money for the road and send them on their way.,Недалеко звідси є місто. Ви даєте {0} трохи грошей на дорогу та відправляєте їх у дорогу.
PeopleEvent_FireSucceed,They're gone.,Вони пішли.
PeopleEvent_FireTake,You look around the truck and realize there's a few things missing. {0} clearly wasn't happy about being fired.,"Ви оглядаєтеся навколо вантажівки й розумієте, що в ній бракує кількох речей. {0} явно не був радий звільненню."
PeopleEvent_FireTake2,Someone's stolen your stuff. {0} clearly didn't take being fired too well.,Хтось вкрав ваші речі. {0} явно не надто добре сприйняв звільнення.
PeopleEvent_FoodNoTaste,It didn't taste like much.,Це не було на смак.
PeopleEvent_FoodRefreshing,They're feeling a lot better.,Вони почуваються набагато краще.
PeopleEvent_FoodTable,It's nice to eat at the table for once.,Приємно раз їсти за столом.
PeopleEvent_FoodThirst,That hit the spot.,Це потрапило в точку.
