LocalizedMap,en,uk
CityDes_11_16,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_17,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_18,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_19,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_20,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_21,This once populous capital city has been turned into a living hellscape.,Цю колись густонаселену столицю перетворили на справжнє пекло.
CityDes_11_22,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_23,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_24,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_25,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_26,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_27,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_28,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_29,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_30,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_31,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_32,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_33,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_34,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_35,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_36,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_37,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_38,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_39,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_40,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_41,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_42,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_43,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_44,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_45,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_46,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_47,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_48,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_49,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_50,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_51,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_52,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_53,"A small gas station, named after its bucktoothed owner.","Маленька заправка, названа на честь її зубастого власника."
CityDes_11_54,"A small farm, named after its bucktoothed owner. Recently, they've built a textiles workshop here in the hopes of getting into the clothing business...","Невеликий хутір, названий на честь свого зубастого власника. Нещодавно тут побудували текстильну майстерню в надії зайнятися швейним бізнесом..."
CityDes_11_55,A small village located in the desert hinterlands. Its inhabitants eke a living out of the nearby oasis. Many explorers planning to venture deeper into the infected cities of the desert will stop by here for a spell.,"Невелике село, розташоване у глибині пустелі. Його мешканці живуть із сусіднього оазису. Багато дослідників, які планують поринути глибше в заражені міста пустелі, зупиняться тут, щоб трохи відпочити."
CityDes_11_56,"This rest stop is located on a barren and otherwise unremarkable stretch of land nestled between the mountains. However, due to its position on the route from Metropol to the hinterlands, it sees plenty of people passing through.","Ця зупинка для відпочинку розташована на безплідній та нічим не примітній ділянці землі, розташованій між горами. Однак, через його розташування на шляху від Метрополі до глибинки, він бачить багато людей, що проходять повз нього."
CityDes_11_57,Every house near this rest stop is filled with blue furniture. No one knows why.,Кожен будинок біля цієї зупинки заставлений синіми меблями. Ніхто не знає чому.
CityDes_11_58,"A rest stop located in the middle of the mountains. If you're not crossing the mountains, it's hard to imagine why you'd want to visit.","Зупинка відпочинку розташована посеред гір. Якщо ви не перетинаєте гори, важко уявити, чому ви захочете їх відвідати."
CityDes_11_59,"A rest stop located in the middle of a swamp, serving the fugitives who try to make their way across.","Розташована посеред болота зупинка для відпочинку втікачів, які намагаються пробратися."
CityDes_11_60,"Located at the very edge of the Dustlands, to the south of this rest stop lies endless desert. What lies beyond that? Only the Pre-Fallers know for sure.","Розташована на самому краю Запилених земель, на південь від цієї зупинки відпочинку лежить нескінченна пустеля. Що лежить поза цим? Тільки Pre-Fallers знають напевно."
CityDes_11_61,"In the earliest days following the Fall, no part of the Dustlands could be considered as having a unified leadership. But as its largest city, Metropol was referred to as the ""capital of the Dustlands,"" perhaps solely out of a desire to maintain some sense of order. Due to its abundant natural resources, the city of Metropol is awash with scrap and building materials, serving as a trading center for all the Dustlands' major cities. Due to its huge resource needs, goods are scarce here—but it's a good place for sellers to make a quick buck.","У перші дні після гріхопадіння жодна частина Пилових земель не могла вважатися такою, що має єдине керівництво. Але як його найбільше місто, Метрополь називали «столицею Запилених земель», можливо, виключно через бажання підтримувати певне відчуття порядку. Завдяки багатим природним ресурсам місто Метрополь завалене брухтом і будівельними матеріалами, слугуючи торговим центром для всіх великих міст Пилових земель. Через величезну потребу в ресурсах тут мало товарів, але це гарне місце для продавців, щоб швидко заробити гроші."
CityDes_11_62,"A large city located in the middle of the Dustlands. Some say it stood here long before society fell to pieces. After the Fall, military peacekeeping forces garrisoned the city and built defenses here, preparing for an onslaught by infected hordes. Now, the city is run by a democratically elected government.","Велике місто, розташоване посеред Запилених земель. Деякі кажуть, що він стояв тут задовго до того, як суспільство розпалося. Після падіння військові миротворчі сили розмістили гарнізон у місті та збудували тут оборону, готуючись до натиску заражених орд. Зараз містом керує демократично обраний уряд."
CityDes_11_63,A large city in the central Dustlands. A lawful place with abundant resources and well-built amenities.,Велике місто в центральній частині Запилених земель. Законне місце з багатими ресурсами та добре побудованими зручностями.
CityDes_11_64,"A city formed by a conglomerate of criminal enterprises. Though Civitas has a perfectly functional economic and political system, its main source of income is derived from shaking down neighboring settlements for protection money. For this purpose, the city leadership employs a substantial workforce of thugs, goons, and general ne'er-do-wells.","Місто, утворене конгломератом злочинних компаній. Хоча Civitas має ідеально функціональну економічну та політичну систему, його основне джерело доходу – це знищення сусідніх поселень заради грошей на захист. Для цього керівництво міста залучає значну робочу силу головорізів, головорізів і взагалі негідників."
CityDes_11_65,"A sentry post serving as Civitas' first line of defense against infected hordes coming from the southwest. That being said, many years have passed without a single incident.","Сторожовий пост, що служить першою лінією захисту Сівітасу від заражених орд, що надходять із південного заходу. При цьому багато років минуло без жодного випадку."
CityDes_11_67,This lookout watches for infected hordes coming from the south.,"Цей спостерігач стежить за зараженими ордами, що приходять з півдня."
CityDes_11_68,"A lookout located in the foothills of the frontier, looking out over the endless snow-capped mountains. No one's crossed them since the days of the Pre-Fallers.","Оглядовий майданчик, розташований у підніжжі прикордоння, звідки відкривається вид на безкрайні засніжені гори. Ніхто не перетинав їх з часів Допадіння."
CityDes_11_69,"A lookout located in the middle of a canyon, where cold northern winds blow all year round.","Оглядовий майданчик, розташований посеред каньйону, де цілий рік дмуть холодні північні вітри."
CityDes_11_70,This lookout keeps watch over the north to ensure the safety of the city of Metropol.,"Цей оглядовий пункт стежить за північчю, щоб забезпечити безпеку міста Метрополь."
CityDes_11_71,"This gas station stands at the entrance to the far north, serving entrepreneurs hoping to find riches in Wraith Valley.","Ця АЗС стоїть на вході на крайню північ, обслуговуючи підприємців, які сподіваються знайти багатства в Долині Привидів."
CityDes_11_72,"This is the westernmost gas station on the map. Keep going west from here, and you'll find absolutely nothing.","Це найзахідніша заправка на карті. Продовжуйте йти звідси на захід, і ви не знайдете абсолютно нічого."
CityDes_11_73,A gas station located far to the north. It's pretty chilly up here.,"Заправка, розташована далеко на півночі. Тут досить прохолодно."
CityDes_11_74,A gas station located in the center of the foothills.,Автозаправна станція розташована в центрі передгір.
CityDes_11_75,"A gas station located in the middle of the Dustlands, looking out over the Dead Center, the central plague zone. Many adventurers stop off here on their way to explore the Dead Center. Few ever make it back again.","Заправна станція, розташована в центрі Пилових земель, з видом на Мертвий центр, центральну зону чуми. Багато шукачів пригод зупиняються тут, щоб дослідити Мертву точку. Мало кому вдається повернутися."
CityDes_11_76,"Named for a small, naturally occurring oil well, this city is much smaller than its grandiose name might suggest, and its location on the edge of the Dustlands means that few ever visit.","Це місто, назване на честь невеликої природної нафтової свердловини, набагато менше, ніж можна було б припустити за його грандіозною назвою, а його розташування на краю Пильних земель означає, що його мало хто відвідує."
CityDes_11_78,"No one knows where Gas Stations #1 through #65 are, but the proprietors insist on keeping the name.","Ніхто не знає, де знаходяться АЗС №1-65, але власники наполягають на збереженні назви."
CityDes_11_79,This gas station is said to have a large supply of scrapped truck parts in stock.,"Кажуть, що на складі цієї АЗС є великий запас утилізованих запчастин до вантажівок."
CityDes_11_80,An entirely unremarkable gas station.,Зовсім нічим не примітна заправка.
CityDes_11_81,This gas station offers shelter for passing truckers. Its name comes from the crowd of fortune-telling old ladies who ply their trade here.,"Ця АЗС пропонує притулок для далекобійників. Його назва походить від натовпу стареньких ворожок, які займаються тут своїм ремеслом."
CityDes_11_83,"Located to the west of the central plains, this gas station is a popular rest stop among truckers headed for the western hills.","Ця автозаправна станція, розташована на захід від центральних рівнин, є популярним місцем відпочинку серед водіїв вантажівок, які прямують на західні пагорби."
CityDes_11_84,A gas station located within the swampy wetlands.,Автозаправна станція розташована в болотистій місцевості.
CityDes_11_85,"A private residence located deep within the mountains. Its owner is rarely seen, preferring to trade with the outside world through their household staff.","Приватна резиденція, розташована глибоко в горах. Його власника рідко бачать, вважаючи за краще торгувати із зовнішнім світом через свій домашній персонал."
CityDes_11_86,A gas station located at the entrance to the southern desert.,"Заправка, розташована на в'їзді в південну пустелю."
CityDes_11_87,"Famous for producing apples, this town's remote location means that its ageing inhabitants see little in the way of young, fresh faces.","Віддалене розташування цього міста, яке славиться виробництвом яблук, означає, що його старіючі жителі мало бачать на шляху молодих, свіжих облич."
CityDes_11_88,A small village built by farmers.,"Невелике село, побудоване фермерами."
CityDes_11_89,A town built by film fanatics. Its name is said to have been inspired by a pre-Fall settlement.,"Місто, збудоване кіноманами. Кажуть, що його назву навіяло поселення до гріхопадіння."
CityDes_11_90,A private residence. Within its courtyard is a pond where people are sometimes seen fishing.,"Приватна резиденція. У його внутрішньому дворику є ставок, де іноді бачать, як люди ловлять рибу."
CityDes_11_91,An entirely unremarkable village.,Зовсім нічим не примітне село.
CityDes_11_92,"No one knows where this city's name came from. It is said to have been written on the door of a pre-Fall building located in the middle of the city—nobody knows what the building was for, either.","Ніхто не знає, звідки пішла назва цього міста. Кажуть, що це було написано на дверях до-гріхопадіння будинку, розташованого в центрі міста — ніхто також не знає, для чого ця будівля була."
CityDes_11_93,A small town located in a narrow gorge leading from the central plains to the western mountains. The gorge is also the only way to reach Metropol.,"Невелике місто, розташоване у вузькій ущелині, що веде від центральних рівнин до західних гір. Також ущелиною можна дістатися до Метрополі."
CityDes_11_94,"This town was once famous for producing various types of ore, but it has since fallen into decline, with only a handful of farmers remaining.","Це місто колись було відоме видобутком різних видів руди, але з тих пір воно занепало, і тут залишилася лише жменька фермерів."
CityDes_11_95,A village in the middle of the wetlands.,Село серед заболоченої місцевості.
CityDes_11_96,A town located on a major thoroughfare. All sorts of people pass through here—both upstanding citizens and less reputable types.,"Місто, розташоване на головній магістралі. Тут проходять усілякі люди — як чесні громадяни, так і менш солідні люди."
CityDes_11_97,An ordinary farming village. It's said that the people here use the infected as a means of divination... which sounds hard to believe.,"Звичайне фермерське село. Кажуть, що тутешні люди використовують заражених як засіб ворожіння... у що важко повірити."
CityDes_11_98,A town located in the narrow pass through the western mountains—the only path to the central plains. People say that the hordes of infected that invaded from the west ten years ago began their destructive rampage here.,"Місто, розташоване у вузькому проході через західні гори — єдиний шлях до центральних рівнин. Кажуть, тут почали свій руйнівний розгул орди заражених, які десять років тому вторглися із заходу."
CityDes_11_99,The only rest stop in the vast desert on the way to Civitas.,Єдина зупинка для відпочинку у величезній пустелі по дорозі в Сівітас.
CityDes_11_100,"A city built in the middle of the wetlands. It's said to have begun as an attempt to fend off infected hordes by building simple fortifications from mud, before growing into the city that stands today.","Місто, побудоване посеред заболоченої місцевості. Кажуть, що це почалося як спроба відбити заражені орди, будуючи прості укріплення з бруду, перш ніж перерости в місто, яке стоїть сьогодні."
CityDes_11_101,"Built in the middle of a basin, Sanctuary's fertile agricultural land attracts large amounts of settlers despite its inconvenient location.","Побудований посеред басейну, родючі сільськогосподарські угіддя Санктуарію приваблюють велику кількість поселенців, незважаючи на своє незручне розташування."
CityDes_11_102,"No one is sure what the acronym means. All that is known is that after the Fall, the first people who came here found it on a sign by the entrance, thus giving the city its name. Due to its proximity to the nearby SM City, the two cities are major trading partners.","Ніхто не впевнений, що означає абревіатура. Відомо лише те, що після гріхопадіння перші люди, які прийшли сюди, знайшли його на табличці біля входу, що дало назву місту. Через близькість до сусіднього SM City ці два міста є основними торговими партнерами."
CityDes_11_103,"No one is sure what the acronym means. All that is known is that after the Fall, the first people who came here found it on a sign by the entrance, thus giving the city its name. Due to its proximity to the nearby BD City, the two cities are major trading partners.","Ніхто не впевнений, що означає абревіатура. Відомо лише те, що після гріхопадіння перші люди, які прийшли сюди, знайшли його на табличці біля входу, що дало назву місту. Через близькість до сусіднього BD City ці два міста є основними торговими партнерами."
CityDes_11_104,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_105,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_106,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_107,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_108,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_109,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_110,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_111,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_112,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_113,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_114,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_115,"Once a small village, this place has fallen into decline. Maybe the power of free enterprise could return it to its former glory?","Це місце колись було маленьким, але занепало. Можливо, сила вільного підприємництва може повернути йому колишню славу?"
CityDes_11_116,"A less-than-legitimate organization offering savings, loans, and wealth management services.","Нелегальна організація, яка пропонує заощадження, позики та послуги з управління капіталом."
CityDes_11_117,"A former industrial complex, its facilities now completely unusable.","Колишній промкомбінат, його потужності зараз повністю непридатні."
CityDes_11_118,An organization dedicated to the construction of roads.,"Організація, що займається будівництвом доріг."
CityDes_11_119,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_120,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_121,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_122,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_123,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_124,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_125,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_126,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_127,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_128,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_129,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_130,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_131,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_132,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_133,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_134,This place is filled with unwanted detritus.,Це місце заповнене небажаним детритом.
CityDes_11_135,"An abandoned city at the entrance to a vast canyon. Though filled with amenities and resources, its location deep in the mountains made it a poor prospect for settlers, leading to its decay.","Покинуте місто на вході у величезний каньйон. Незважаючи на наявність зручностей і ресурсів, його розташування глибоко в горах робило його поганою перспективою для поселенців, що призвело до його занепаду."
CityDes_11_136,"In the middle of this town lies a small pond lush seemingly connected to an aquifer. The pond, lush with reeds, is probably the most interesting thing about the place.","Посеред цього міста лежить невеликий ставок, який, здається, з’єднаний із водоносним горизонтом. Мабуть, найцікавіше в цьому місці ставок, порослий очеретом."
CityDes_11_137,"A small town in the middle of the central plains, with fertile soil suitable for farming. But due to its proximity to a number of major cities, most of its young people have moved away, leaving only the old-timers behind.","Невелике містечко посеред центральних рівнин із родючим ґрунтом, придатним для землеробства. Але через його близькість до ряду великих міст більшість молодих людей переїхали, залишивши лише старожилів."
CityDes_11_138,"This town takes its name from a pre-Fall oil well, which continues to produce small amounts of crude oil to this day.","Це місто отримало свою назву від нафтової свердловини, викопаної до гріхопадіння, яка продовжує видобувати невелику кількість сирої нафти донині."
CityDes_11_139,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_140,This place has been abandoned for some time.,Деякий час це місце було покинуте.
CityDes_11_141,"Located on a riverbank, this city was abandoned due to its proximity to a plague zone.","Це місто, розташоване на березі річки, було покинуте через близькість до зони чуми."
CityDes_11_142,An organization dedicated to the construction of roads.,"Організація, що займається будівництвом доріг."
CityDes_11_143,An organization dedicated to the construction of roads.,"Організація, що займається будівництвом доріг."
CityDes_11_144,An organization dedicated to the construction of roads.,"Організація, що займається будівництвом доріг."
CityDes_11_145,An organization dedicated to the construction of roads.,"Організація, що займається будівництвом доріг."
CityDes_11_146,An organization dedicated to the construction of roads.,"Організація, що займається будівництвом доріг."
CityDes_11_147,"A less-than-legitimate organization offering savings, loans, and wealth management services.","Нелегальна організація, яка пропонує заощадження, позики та послуги з управління капіталом."
CityDes_11_148,"A less-than-legitimate organization offering savings, loans, and wealth management services.","Нелегальна організація, яка пропонує заощадження, позики та послуги з управління капіталом."
CityDes_12_1,This facility is kept under constant armed guard.,Даний заклад перебуває під постійною озброєною охороною.
CityDes_12_2,This facility is kept under constant armed guard.,Даний заклад перебуває під постійною озброєною охороною.
CityDes_12_3,"There aren't many places to fill up a gas tank in the Hormiga Desert, but this is one of them. Travelers who are brave enough can try siphoning fuel while keeping watch for hordes of infected. Try not to dwell on the possibility you might one day join them.","У пустелі Хорміга небагато місць, де можна заправити бензобак, але це одне з них. Достатньо сміливі мандрівники можуть спробувати відкачати пальне, спостерігаючи за натовпами інфікованих. Намагайтеся не думати про можливість одного разу приєднатися до них."
CityDes_12_4,This military base is patrolled by armed mercenaries. Nobody knows much about what goes on in here.,"Цю військову базу патрулюють озброєні найманці. Ніхто не знає багато про те, що тут відбувається."
CityDes_12_5,This military base is patrolled by armed mercenaries. Nobody knows much about what goes on in here.,"Цю військову базу патрулюють озброєні найманці. Ніхто не знає багато про те, що тут відбувається."
CityDes_12_6,"This military base is patrolled by armed mercenaries. Nobody knows much about what goes on in here. Traders in the area will sometimes sell bracelets, pendants and other trinkets fashioned from spent ammo cases, claiming they were made by wounded soldiers—after all, if they were lucky enough to escape death, maybe some of their luck rubbed off?","Цю військову базу патрулюють озброєні найманці. Ніхто не знає багато про те, що тут відбувається. Торговці в цьому районі іноді продають браслети, підвіски та інші дрібнички, зроблені зі використаних гільз, стверджуючи, що вони зроблені пораненими солдатами — зрештою, якщо їм пощастило уникнути смерті, можливо, частина їхньої удачі втрачала?"
CityDes_12_7,"If you're heading to the northern Valley, after you've stocked up on guns and ammo, it's a good idea stop by here to fill up on fuel.","Якщо ви прямуєте до північної Долини, після того, як ви запаслися зброєю та боєприпасами, було б гарною ідеєю зупинитися тут, щоб заправити паливом."
CityDes_12_8,"This complex is home to three major industries north of the valley—construction, leather, and medicines.","Цей комплекс є домом для трьох основних галузей промисловості на північ від долини — будівництва, шкіри та ліків."
CityDes_12_9,"Nobody remembers what this factory used to make back in the old days. Now, it produces simple, practical goods made from scavenged resources for people who can still afford to put up the cash when times are tough.","Ніхто не пам'ятає, що виготовляла ця фабрика в давні часи. Тепер він виробляє прості, практичні товари, виготовлені з видобутих ресурсів для людей, які все ще можуть дозволити собі вкладати готівку, коли часи важкі."
CityDes_12_10,"This factory produces water purifiers, which are in high demand on many farms.","Цей завод виробляє водоочищувачі, які користуються великим попитом у багатьох господарствах."
CityDes_12_11,"Nobody remembers what this factory used to make back in the old days. Now, it produces simple, practical goods made from resources scavenged from the nearby forests for people who need them.","Ніхто не пам'ятає, що виготовляла ця фабрика в давні часи. Тепер він виробляє прості, практичні товари, виготовлені з ресурсів, видобутих із сусідніх лісів, для людей, які їх потребують."
CityDes_12_12,"Nobody remembers what this factory used to make back in the old days. Now, it produces simple, practical goods made from scavenged resources for people who can still afford to put up the cash when times are tough.","Ніхто не пам'ятає, що виготовляла ця фабрика в давні часи. Тепер він виробляє прості, практичні товари, виготовлені з видобутих ресурсів для людей, які все ще можуть дозволити собі вкладати готівку, коли часи важкі."
CityDes_12_13,"Nobody remembers what this factory used to make back in the old days. Now, it produces simple, practical goods made from scavenged resources for people who can still afford to put up the cash when times are tough.","Ніхто не пам'ятає, що виготовляла ця фабрика в давні часи. Тепер він виробляє прості, практичні товари, виготовлені з видобутих ресурсів для людей, які все ще можуть дозволити собі вкладати готівку, коли часи важкі."
CityDes_12_14,"The handful of still-working machines in this industrial park's factories are pushed to their limits to produce clothing, candy, and water purifiers.","Кілька все ще працюючих машин на заводах цього індустріального парку працюють на межі своїх можливостей, щоб виробляти одяг, цукерки та очищувачі води."
CityDes_12_15,"Hidden within the forest, these fields were once a getaway for nearby city slickers. After the infection hit, panicked residents fled here, emptying the farm's silos of their grain stores. Now, with the help of armed guards, the farm is trying to rebuild, creating high quality foodstuffs for those who can afford them.","Ці поля, сховані в лісі, колись були місцем відпочинку для довколишніх міських пройдисвітів. Після зараження жителі в паніці втекли сюди, спустошивши силоси ферми від своїх зернових складів. Тепер за допомогою озброєної охорони ферму намагаються відновити, створюючи якісні продукти для тих, хто може собі їх дозволити."
CityDes_12_16,This remote farm sells a handful of products for a high price.,Ця віддалена ферма продає кілька продуктів за високу ціну.
CityDes_12_17,"The moisture and temperature conditions at this farm are just right, leading to bumper harvests.","Умови вологи та температури на цій фермі належні, що забезпечує чудові врожаї."
CityDes_12_18,This farm is run by a doddering old husband and wife and their small army of hale and hearty children and grandchildren.,"Цією фермою керують літні чоловік і дружина, які в’януть, і їхня невелика армія здорових і здорових дітей і онуків."
CityDes_12_19,"This farm used to produce a variety of crops. Changes in climate left it much less fertile than before, leaving its owners no choice but to stake their livelihood on hardy medicinal herbs and spend their days and nights looking for opportunities to sell them.","Ця ферма вирощувала різноманітні культури. Зміни клімату зробили його значно менш родючим, ніж раніше, не залишивши його власникам іншого вибору, окрім як зробити ставку на витривалі лікарські трави та витрачати дні й ночі на пошуки можливостей їх продажу."
CityDes_12_20,"Located on higher ground, Adastra has high cloud cover all year round. In winter, the chilly north wind clears the skies, affording residents a clear look at the dazzling stars. In pre-Fall times, the city was a much-loved spot for amateur astronomers.","Розташована на височині, Адастра має високу хмарність цілий рік. Взимку прохолодний північний вітер розчищає небо, дозволяючи жителям чітко дивитися на сліпучі зірки. У часи до осені це місто було улюбленим місцем для астрономів-любителів."
CityDes_12_21,What was once a prosperous city has become a living hell.,"Те, що колись було процвітаючим містом, перетворилося на справжнє пекло."
CityDes_12_22,"This farm is known for the sweetness of their canned fruit. It's a simple operation, but they hope that granting weary travelers a moment of relief will convince them to pick up a couple more cans for the road.","Ця ферма відома солодкістю консервованих фруктів. Це проста операція, але вони сподіваються, що надання втомленим мандрівникам хвилини полегшення переконає їх взяти ще пару банок у дорогу."
CityDes_12_23,"This farm is run by a herbalist who plants and sells medicinal herbs, and brews a fruit wine claimed to extend your lifespan.","Цією фермою керує травник, який висаджує та продає лікарські трави, а також варить фруктове вино, яке, як стверджується, подовжує ваше життя."
CityDes_12_24,"It's said that not long after the Fall, this depot was ransacked by oil tanker drivers who stole the remaining fuel.","Кажуть, що незабаром після гріхопадіння це депо було розграбовано водіями нафтових танкерів, які викрали паливо, що залишилося."
CityDes_12_25,"A leak at this fuel depot led the nearby lake to be renamed ""Blackmoss Lake"". By this point, nobody even remembers its original name. Now, the depot is occupied by a group of armed mercenaries who live dangerous yet extravagant lives, with a leader who finances their military expenditure with a side hobby in trading historical relics.","Через витік на цьому складі палива сусіднє озеро було перейменовано в «Озеро Чорний Мох». До цього моменту ніхто навіть не пам'ятає його оригінальної назви. Зараз депо зайнято групою озброєних найманців, які живуть небезпечним, але екстравагантним життям, лідер яких фінансує їхні військові витрати, додаючи додаткове хобі — торгівлю історичними реліквіями."
